Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0328,425,286,711,1631,43.59%,206,464,670
"District Judge, 177th Judicial District",0329,589,260,849,1621,52.38%,254,546,800
"District Judge, 177th Judicial District",0330,863,326,1189,2146,55.41%,525,592,1117
"District Judge, 177th Judicial District",0331,884,234,1118,1612,69.35%,692,365,1057
"District Judge, 177th Judicial District",0332,1355,503,1858,2926,63.50%,175,1604,1779
"District Judge, 177th Judicial District",0333,1385,942,2327,3296,70.60%,1631,568,2199
"District Judge, 177th Judicial District",0334,246,104,350,786,44.53%,58,277,335
"District Judge, 177th Judicial District",0335,489,293,782,1679,46.58%,187,537,724
"District Judge, 177th Judicial District",0336,2489,689,3178,4771,66.61%,321,2760,3081
"District Judge, 177th Judicial District",0337,367,155,522,1108,47.11%,75,413,488
"District Judge, 177th Judicial District",0338,1626,632,2258,5001,45.15%,586,1564,2150
"District Judge, 177th Judicial District",0339,704,303,1007,1909,52.75%,198,740,938
"District Judge, 177th Judicial District",0340,2040,654,2694,4012,67.15%,1885,673,2558
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0341,380,278,658,1372,47.96%,162,457,619
"District Judge, 177th Judicial District",0342,311,225,536,1092,49.08%,112,392,504
"District Judge, 177th Judicial District",0343,722,370,1092,2099,52.02%,211,803,1014
"District Judge, 177th Judicial District",0344,381,207,588,1225,48.00%,21,534,555
"District Judge, 177th Judicial District",0345,575,349,924,1945,47.51%,180,689,869
"District Judge, 177th Judicial District",0346,1,0,1,1,100.00%,0,0,0
"District Judge, 177th Judicial District",0347,1461,618,2079,3614,57.53%,1194,795,1989
"District Judge, 177th Judicial District",0348,830,242,1072,1796,59.69%,715,309,1024
"District Judge, 177th Judicial District",0349,458,369,827,1372,60.28%,492,306,798
"District Judge, 177th Judicial District",0350,1674,582,2256,3269,69.01%,819,1246,2065
"District Judge, 177th Judicial District",0351,2855,570,3425,4799,71.37%,2563,714,3277
"District Judge, 177th Judicial District",0352,2023,538,2561,4278,59.86%,1755,698,2453
"District Judge, 177th Judicial District",0353,1715,659,2374,4156,57.12%,391,1895,2286
"District Judge, 177th Judicial District",0354,1569,429,1998,3520,56.76%,445,1442,1887
"District Judge, 177th Judicial District",0355,821,239,1060,1714,61.84%,110,915,1025
"District Judge, 177th Judicial District",0356,1542,582,2124,3126,67.95%,1176,824,2000
"District Judge, 177th Judicial District",0357,1882,557,2439,3685,66.19%,1734,583,2317
"District Judge, 177th Judicial District",0358,775,376,1151,2634,43.70%,113,990,1103
"District Judge, 177th Judicial District",0359,803,496,1299,3320,39.13%,136,1122,1258
"District Judge, 177th Judicial District",0360,1858,597,2455,3309,74.19%,1167,1103,2270
"District Judge, 177th Judicial District",0361,323,688,1011,1808,55.92%,153,751,904
"District Judge, 177th Judicial District",0362,2865,553,3418,5161,66.23%,2361,905,3266
"District Judge, 177th Judicial District",0363,1826,635,2461,4160,59.16%,974,1407,2381
"District Judge, 177th Judicial District",0364,1190,528,1718,2827,60.77%,760,855,1615
"District Judge, 177th Judicial District",0365,827,174,1001,1348,74.26%,120,855,975
"District Judge, 177th Judicial District",0366,988,524,1512,2887,52.37%,312,1132,1444
"District Judge, 177th Judicial District",0367,453,204,657,1256,52.31%,157,466,623
"District Judge, 177th Judicial District",0368,433,122,555,1024,54.20%,143,391,534
"District Judge, 177th Judicial District",0369,132,29,161,678,23.75%,61,88,149
"District Judge, 177th Judicial District",0370,2525,627,3152,4531,69.57%,2231,783,3014
"District Judge, 177th Judicial District",0371,210,78,288,537,53.63%,12,270,282
"District Judge, 177th Judicial District",0372,509,180,689,1274,54.08%,73,592,665
"District Judge, 177th Judicial District",0373,61,13,74,163,45.40%,1,69,70
"District Judge, 177th Judicial District",0374,176,165,341,720,47.36%,82,243,325
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0375,745,510,1255,2836,44.25%,411,769,1180
"District Judge, 177th Judicial District",0376,753,344,1097,2060,53.25%,392,640,1032
"District Judge, 177th Judicial District",0377,1381,643,2024,3137,64.52%,1499,420,1919
"District Judge, 177th Judicial District",0378,621,447,1068,1856,57.54%,645,372,1017
"District Judge, 177th Judicial District",0379,857,388,1245,2149,57.93%,118,1092,1210
"District Judge, 177th Judicial District",0380,2732,551,3283,4380,74.95%,1706,1445,3151
"District Judge, 177th Judicial District",0381,1185,432,1517,3141,51.48%,604,930,1534
"District Judge, 177th Judicial District",0382,429,206,635,1035,61.35%,386,219,605
"District Judge, 177th Judicial District",0383,722,458,1180,2373,49.73%,354,761,1115
"District Judge, 177th Judicial District",0384,1152,444,1596,2725,58.57%,344,1174,1518
"District Judge, 177th Judicial District",0385,1141,561,1702,2207,77.12%,1295,316,1611
"District Judge, 177th Judicial District",0386,1658,419,2077,3105,66.89%,1457,550,2007
"District Judge, 177th Judicial District",0387,1702,780,2482,4340,57.19%,1627,736,2363
"District Judge, 177th Judicial District",0388,2899,711,3510,5413,66.69%,1698,1775,3473
"District Judge, 177th Judicial District",0389,397,293,690,1359,50.77%,100,543,643
"District Judge, 177th Judicial District",0390,698,271,969,1482,65.38%,139,796,935
"District Judge, 177th Judicial District",0391,986,336,1322,1978,66.84%,777,480,1257
"District Judge, 177th Judicial District",0392,652,145,797,1426,55.89%,17,755,772
"District Judge, 177th Judicial District",0393,427,257,684,1274,53.69%,312,331,643
"District Judge, 177th Judicial District",0394,236,126,362,914,39.61%,117,225,342
"District Judge, 177th Judicial District",0395,1007,371,1378,1875,73.49%,924,372,1296
"District Judge, 177th Judicial District",0396,1035,204,1239,2072,59.80%,34,1165,1199
"District Judge, 177th Judicial District",0397,204,117,321,796,40.33%,112,186,298
"District Judge, 177th Judicial District",0398,1761,654,2415,4200,57.50%,1065,1235,2300
"District Judge, 177th Judicial District",0399,1291,546,1837,3340,55.00%,696,1069,1765
"District Judge, 177th Judicial District",0400,1457,372,1839,2661,69.11%,1183,579,1762
"District Judge, 177th Judicial District",0401,703,257,960,1971,48.71%,45,868,913
"District Judge, 177th Judicial District",0402,897,262,1159,1911,60.65%,71,1050,1121
"District Judge, 177th Judicial District",0403,959,387,1346,1719,78.30%,731,510,1241
"District Judge, 177th Judicial District",0404,1033,445,1478,2717,54.40%,698,724,1422
"District Judge, 177th Judicial District",0405,1910,457,2367,3067,77.18%,1755,540,2295
"District Judge, 177th Judicial District",0406,275,65,340,649,52.39%,8,321,329
"District Judge, 177th Judicial District",0407,1703,860,2563,3969,64.58%,1531,891,2422
"District Judge, 177th Judicial District",0408,520,313,833,1740,47.87%,252,530,782
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0409,501,280,781,1608,48.57%,231,501,732
"District Judge, 177th Judicial District",0410,381,96,477,934,51.07%,87,371,458
"District Judge, 177th Judicial District",0411,699,418,1117,2426,46.04%,268,782,1050
"District Judge, 177th Judicial District",0412,156,80,236,478,49.37%,10,219,229
"District Judge, 177th Judicial District",0413,1546,456,2002,3081,64.98%,718,1180,1898
"District Judge, 177th Judicial District",0414,1573,514,2087,3586,58.20%,1502,495,1997
"District Judge, 177th Judicial District",0415,1076,573,1649,2284,72.20%,1104,454,1558
"District Judge, 177th Judicial District",0416,1443,845,2288,4009,57.07%,1106,1052,2158
"District Judge, 177th Judicial District",0417,1104,397,1501,2589,57.98%,616,807,1423
"District Judge, 177th Judicial District",0418,1336,663,1999,3940,50.74%,637,1235,1872
"District Judge, 177th Judicial District",0419,1166,477,1643,2702,60.81%,930,639,1569
"District Judge, 177th Judicial District",0420,2687,731,3418,4946,69.11%,2729,555,3284
"District Judge, 177th Judicial District",0421,1240,273,1513,2023,74.79%,709,743,1452
"District Judge, 177th Judicial District",0422,1357,401,1768,3348,52.81%,67,1647,1714
"District Judge, 177th Judicial District",0423,316,288,604,1423,42.45%,124,454,578
"District Judge, 177th Judicial District",0424,548,158,706,1079,65.43%,366,298,664
"District Judge, 177th Judicial District",0425,257,139,396,878,45.10%,116,260,376
"District Judge, 177th Judicial District",0426,485,228,713,1266,56.32%,358,313,671
"District Judge, 177th Judicial District",0427,437,155,592,1120,52.86%,188,364,552
"District Judge, 177th Judicial District",0428,1588,865,2553,5151,49.56%,623,1789,2412
"District Judge, 177th Judicial District",0429,947,649,1596,3311,48.20%,320,1197,1517
"District Judge, 177th Judicial District",0430,524,291,815,1794,45.43%,140,620,760
"District Judge, 177th Judicial District",0431,1218,604,1822,3860,47.20%,385,1353,1738
"District Judge, 177th Judicial District",0432,456,249,705,1568,44.96%,201,452,653
"District Judge, 177th Judicial District",0433,163,88,251,561,44.74%,56,181,237
"District Judge, 177th Judicial District",0434,831,293,1124,1557,72.19%,638,396,1034
"District Judge, 177th Judicial District",0435,1951,567,2518,3363,74.87%,1591,777,2368
"District Judge, 177th Judicial District",0436,2008,678,2686,3809,70.52%,1477,1029,2506
"District Judge, 177th Judicial District",0437,1148,425,1573,2094,75.12%,1032,459,1491
"District Judge, 177th Judicial District",0438,2288,475,2763,3789,72.92%,1916,691,2607
"District Judge, 177th Judicial District",0439,1854,749,2603,3701,70.33%,1750,701,2451
"District Judge, 177th Judicial District",0440,1498,749,2247,2973,75.58%,1696,429,2125
"District Judge, 177th Judicial District",0441,824,408,1232,1695,72.68%,846,316,1162
"District Judge, 177th Judicial District",0442,2441,685,3126,4315,72.44%,2524,464,2988
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0443,415,83,498,642,77.57%,363,108,471
"District Judge, 177th Judicial District",0444,1620,679,2299,3625,63.42%,1234,918,2152
"District Judge, 177th Judicial District",0445,1036,382,1418,2134,66.45%,840,502,1342
"District Judge, 177th Judicial District",0446,89,45,134,309,43.37%,50,79,129
"District Judge, 177th Judicial District",0447,2411,464,2875,3727,77.14%,1842,889,2731
"District Judge, 177th Judicial District",0448,1763,529,2292,3155,72.65%,1276,836,2112
"District Judge, 177th Judicial District",0449,73,26,99,225,44.00%,11,86,97
"District Judge, 177th Judicial District",0450,1104,394,1498,2890,51.83%,383,1053,1436
"District Judge, 177th Judicial District",0451,1719,367,2086,2771,75.28%,1646,354,2000
"District Judge, 177th Judicial District",0452,1871,662,2533,3789,66.85%,1669,749,2418
"District Judge, 177th Judicial District",0453,661,417,1078,2039,52.87%,284,725,1009
"District Judge, 177th Judicial District",0454,1043,288,1331,2509,53.05%,23,1265,1288
"District Judge, 177th Judicial District",0455,669,173,842,1713,49.15%,34,780,814
"District Judge, 177th Judicial District",0456,1404,553,1957,3793,51.60%,1014,845,1859
"District Judge, 177th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0458,914,253,1167,2025,57.63%,75,1046,1121
"District Judge, 177th Judicial District",0459,2362,432,2794,3942,70.88%,2113,561,2674
"District Judge, 177th Judicial District",0460,1613,472,2085,3280,63.57%,501,1510,2011
"District Judge, 177th Judicial District",0461,2242,669,2911,4054,71.81%,1795,922,2717
"District Judge, 177th Judicial District",0462,1474,738,2212,3507,63.07%,748,1372,2120
"District Judge, 177th Judicial District",0463,1673,564,2237,3773,59.29%,853,1311,2164
"District Judge, 177th Judicial District",0464,967,582,1549,2343,66.11%,944,508,1452
"District Judge, 177th Judicial District",0465,1628,594,2222,3778,58.81%,985,1136,2121
"District Judge, 177th Judicial District",0466,2274,509,2783,4327,64.32%,1389,1288,2677
"District Judge, 177th Judicial District",0467,501,225,726,1320,55.00%,147,538,685
"District Judge, 177th Judicial District",0468,1379,747,2126,4040,52.62%,509,1508,2017
"District Judge, 177th Judicial District",0469,1867,462,2329,3257,71.51%,1776,451,2227
"District Judge, 177th Judicial District",0470,555,232,787,1358,57.95%,561,191,752
"District Judge, 177th Judicial District",0471,1057,458,1515,2473,61.26%,1121,337,1458
"District Judge, 177th Judicial District",0472,463,339,802,1131,70.91%,352,390,742
"District Judge, 177th Judicial District",0473,944,390,1334,1787,74.65%,904,355,1259
"District Judge, 177th Judicial District",0474,1417,624,2041,3127,65.27%,1311,643,1954
"District Judge, 177th Judicial District",0475,791,261,1052,1936,54.34%,403,593,996
"District Judge, 177th Judicial District",0476,1077,405,1482,2458,60.29%,772,638,1410
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0477,2027,640,2667,4010,66.51%,1802,739,2541
"District Judge, 177th Judicial District",0478,2271,683,2954,4696,62.90%,1815,1001,2816
"District Judge, 177th Judicial District",0479,1978,755,2733,3851,70.97%,1991,642,2633
"District Judge, 177th Judicial District",0480,1445,538,1983,2978,66.59%,1326,588,1914
"District Judge, 177th Judicial District",0481,1756,667,2423,3609,67.14%,1715,581,2296
"District Judge, 177th Judicial District",0482,2259,618,2877,4405,65.31%,1915,841,2756
"District Judge, 177th Judicial District",0483,2305,538,2843,4495,63.25%,1428,1255,2683
"District Judge, 177th Judicial District",0484,2020,700,2720,3981,68.32%,1683,924,2607
"District Judge, 177th Judicial District",0485,2118,567,2685,4051,66.28%,1888,692,2580
"District Judge, 177th Judicial District",0486,2310,721,3031,4195,72.25%,2261,633,2894
"District Judge, 177th Judicial District",0487,1405,527,1932,4142,46.64%,473,1296,1769
"District Judge, 177th Judicial District",0488,842,511,1353,2382,56.80%,363,920,1283
"District Judge, 177th Judicial District",0489,865,344,1209,1958,61.75%,333,817,1150
"District Judge, 177th Judicial District",0490,980,346,1326,2105,62.99%,408,837,1245
"District Judge, 177th Judicial District",0491,937,488,1425,2110,67.54%,761,581,1342
"District Judge, 177th Judicial District",0492,1217,396,1613,2552,63.21%,812,728,1540
"District Judge, 177th Judicial District",0493,1404,555,1959,3338,58.69%,711,1127,1838
"District Judge, 177th Judicial District",0494,1079,419,1498,2787,53.75%,181,1261,1442
"District Judge, 177th Judicial District",0495,1414,376,1790,2488,71.95%,1182,510,1692
"District Judge, 177th Judicial District",0496,687,549,1236,2325,53.16%,416,764,1180
"District Judge, 177th Judicial District",0497,915,281,1197,2148,55.73%,51,1105,1156
"District Judge, 177th Judicial District",0498,1069,423,1492,2527,59.04%,510,906,1416
"District Judge, 177th Judicial District",0499,1433,397,1830,2336,78.34%,1302,441,1743
"District Judge, 177th Judicial District",0500,1869,651,2520,3698,68.14%,1542,866,2408
"District Judge, 177th Judicial District",0501,1146,406,1552,2016,76.98%,669,780,1449
"District Judge, 177th Judicial District",0502,1,355,293,1559,2595,63.93%,1244,331,1575
"District Judge, 177th Judicial District",0503,1397,306,1703,2236,76.16%,1245,371,1616
"District Judge, 177th Judicial District",0504,1270,482,1752,2318,75.58%,1118,536,1654
"District Judge, 177th Judicial District",0505,1750,735,2485,4076,60.97%,1070,1235,2305
"District Judge, 177th Judicial District",0506,1513,696,2209,3544,62.33%,335,1795,2130
"District Judge, 177th Judicial District",0507,599,319,918,2562,35.83%,199,623,822
"District Judge, 177th Judicial District",0508,1519,828,2347,4767,49.23%,636,1535,2171
"District Judge, 177th Judicial District",0509,2504,669,3173,5153,61.58%,1962,1075,3037
"District Judge, 177th Judicial District",0510,1701,666,2367,3822,61.93%,1010,1272,2282
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0511,2933,574,3507,4620,75.91%,2095,1282,3377
"District Judge, 177th Judicial District",0512,1668,871,2539,4559,55.69%,945,1475,2420
"District Judge, 177th Judicial District",0513,1754,413,2157,3003,72.16%,1536,537,2073
"District Judge, 177th Judicial District",0514,2285,613,2899,4378,66.22%,1962,801,2763
"District Judge, 177th Judicial District",0515,1836,468,2304,3182,72.41%,1796,409,2205
"District Judge, 177th Judicial District",0516,1316,363,1679,2799,59.99%,806,805,1611
"District Judge, 177th Judicial District",0517,1610,509,2119,3744,56.60%,897,1125,2022
"District Judge, 177th Judicial District",0518,1886,676,2562,4049,63.27%,1446,994,2440
"District Judge, 177th Judicial District",0519,1421,51,8,1939,3098,62.59%,1293,559,1852
"District Judge, 177th Judicial District",0520,1785,670,2456,5202,47.21%,380,2010,2390
"District Judge, 177th Judicial District",0521,1350,578,1928,3070,62.80%,882,965,1847
"District Judge, 177th Judicial District",0522,1508,464,1972,2815,70.05%,1435,475,1910
"District Judge, 177th Judicial District",0523,1978,537,2515,4027,62.45%,1518,869,2387
"District Judge, 177th Judicial District",0524,1392,637,2029,3598,56.39%,529,1403,1932
"District Judge, 177th Judicial District",0525,1440,574,2014,3260,61.78%,417,1495,1912
"District Judge, 177th Judicial District",0526,235,157,392,820,47.80%,84,278,362
"District Judge, 177th Judicial District",0527,156,38,194,580,33.45%,72,109,181
"District Judge, 177th Judicial District",0528,17,8,25,78,32.05%,2,22,24
"District Judge, 177th Judicial District",0529,2107,434,2541,3842,66.14%,2076,353,2429
"District Judge, 177th Judicial District",0530,375,212,587,1236,47.49%,112,426,538
"District Judge, 177th Judicial District",0531,1234,166,1400,2250,62.22%,1007,312,1319
"District Judge, 177th Judicial District",0532,478,140,618,1058,58.41%,406,197,603
"District Judge, 177th Judicial District",0533,352,169,521,1164,44.76%,248,238,486
"District Judge, 177th Judicial District",0534,1895,577,2472,3918,63.09%,1686,672,2358
"District Judge, 177th Judicial District",0535,132,62,194,413,46.97%,59,119,178
"District Judge, 177th Judicial District",0536,2104,1053,3157,5637,56.00%,1004,1972,2976
"District Judge, 177th Judicial District",0537,1958,464,2422,3174,76.31%,1695,620,2315
"District Judge, 177th Judicial District",0538,371,203,574,1332,43.09%,14,546,560
"District Judge, 177th Judicial District",0539,811,234,1045,1535,68.08%,550,438,988
"District Judge, 177th Judicial District",0540,997,349,1346,1759,76.52%,500,736,1236
"District Judge, 177th Judicial District",0541,2157,761,2918,5001,58.35%,461,2323,2784
"District Judge, 177th Judicial District",0542,1156,406,1562,2654,58.85%,105,1403,1508
"District Judge, 177th Judicial District",0543,553,321,874,1658,52.71%,214,616,830
"District Judge, 177th Judicial District",0544,84,54,138,313,44.09%,17,117,134
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0545,2015,468,2483,3949,62.88%,1080,1269,2349
"District Judge, 177th Judicial District",0546,1524,278,1802,2471,72.93%,1513,237,1750
"District Judge, 177th Judicial District",0547,1413,270,1683,2534,66.42%,1091,511,1602
"District Judge, 177th Judicial District",0548,882,395,1277,2339,54.60%,555,676,1231
"District Judge, 177th Judicial District",0549,1105,447,1552,2786,55.71%,184,1321,1505
"District Judge, 177th Judicial District",0550,1171,553,1724,3245,53.13%,711,953,1664
"District Judge, 177th Judicial District",0551,2586,793,3379,4428,76.31%,2498,723,3221
"District Judge, 177th Judicial District",0552,2090,784,2874,3762,76.40%,2269,493,2762
"District Judge, 177th Judicial District",0553,962,317,1279,2193,58.32%,477,755,1232
"District Judge, 177th Judicial District",0554,597,271,868,1774,48.93%,162,667,829
"District Judge, 177th Judicial District",0555,639,390,1029,2286,45.01%,177,808,985
"District Judge, 177th Judicial District",0556,759,435,1194,2491,47.93%,235,906,1141
"District Judge, 177th Judicial District",0557,925,460,1385,2955,46.87%,376,895,1271
"District Judge, 177th Judicial District",0558,1812,721,2533,4718,53.69%,736,1695,2431
"District Judge, 177th Judicial District",0559,1901,701,2602,4984,52.21%,578,1910,2488
"District Judge, 177th Judicial District",0560,290,247,537,1141,47.06%,89,410,499
"District Judge, 177th Judicial District",0561,1023,624,1647,3138,52.49%,937,620,1557
"District Judge, 177th Judicial District",0562,222,116,338,691,48.91%,43,266,309
"District Judge, 177th Judicial District",0563,2069,337,2406,3468,69.38%,1821,486,2307
"District Judge, 177th Judicial District",0564,1551,526,2077,3240,64.10%,571,1387,1958
"District Judge, 177th Judicial District",0565,336,148,484,1414,34.23%,75,385,460
"District Judge, 177th Judicial District",0566,1183,441,1624,3029,53.62%,402,1153,1555
"District Judge, 177th Judicial District",0567,965,390,1355,2851,47.53%,342,919,1261
"District Judge, 177th Judicial District",0568,1833,697,2530,3638,69.54%,1586,762,2348
"District Judge, 177th Judicial District",0569,2027,747,2774,4125,67.25%,1294,1294,2588
"District Judge, 177th Judicial District",0570,766,278,1044,1598,65.33%,375,590,965
"District Judge, 177th Judicial District",0571,521,314,835,1950,42.82%,240,548,788
"District Judge, 177th Judicial District",0572,1522,444,1966,3308,59.43%,850,1019,1869
"District Judge, 177th Judicial District",0573,489,215,704,1625,43.32%,18,674,692
"District Judge, 177th Judicial District",0574,112,74,186,391,47.57%,21,156,177
"District Judge, 177th Judicial District",0575,1905,535,2440,3557,68.60%,1319,1004,2323
"District Judge, 177th Judicial District",0576,1107,375,1482,2830,52.37%,87,1352,1439
"District Judge, 177th Judicial District",0577,885,205,1090,1586,68.73%,641,391,1032
"District Judge, 177th Judicial District",0578,1026,405,1431,1862,76.85%,869,457,1326
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0579,287,181,468,1139,41.09%,79,364,443
"District Judge, 177th Judicial District",0580,366,108,474,985,48.12%,18,448,466
"District Judge, 177th Judicial District",0581,456,137,593,1033,57.41%,18,553,571
"District Judge, 177th Judicial District",0582,543,232,775,1607,48.23%,49,694,743
"District Judge, 177th Judicial District",0583,433,155,588,1286,45.72%,16,558,574
"District Judge, 177th Judicial District",0584,367,120,487,1062,45.86%,34,432,466
"District Judge, 177th Judicial District",0585,829,280,1109,2346,47.27%,55,1018,1073
"District Judge, 177th Judicial District",0586,1790,790,2580,4521,57.07%,1434,1028,2462
"District Judge, 177th Judicial District",0587,1204,431,1635,2870,56.97%,518,1046,1564
"District Judge, 177th Judicial District",0588,1940,606,2546,3780,67.35%,1651,796,2447
"District Judge, 177th Judicial District",0589,1539,545,2084,3780,55.13%,972,1020,1992
"District Judge, 177th Judicial District",0590,1230,400,1630,2176,74.91%,1257,292,1549
"District Judge, 177th Judicial District",0591,651,462,1113,2274,48.94%,261,783,1044
"District Judge, 177th Judicial District",0592,449,272,721,1446,49.86%,145,540,685
"District Judge, 177th Judicial District",0593,1551,755,2316,4179,55.42%,885,1302,2187
"District Judge, 177th Judicial District",0594,1243,316,1559,2578,60.47%,413,1099,1512
"District Judge, 177th Judicial District",0595,600,299,899,1833,49.05%,126,740,866
"District Judge, 177th Judicial District",0596,1377,501,1878,3574,52.55%,829,949,1778
"District Judge, 177th Judicial District",0597,1204,609,1813,3587,50.54%,611,1112,1723
"District Judge, 177th Judicial District",0598,2389,731,3120,5253,59.39%,1045,1934,2979
"District Judge, 177th Judicial District",0599,1378,493,1871,3005,62.26%,628,1178,1806
"District Judge, 177th Judicial District",0600,1602,776,2378,4204,56.57%,764,1488,2252
"District Judge, 177th Judicial District",0601,2220,670,2890,4151,69.62%,2064,724,2788
"District Judge, 177th Judicial District",0602,754,234,988,1441,68.56%,656,289,945
"District Judge, 177th Judicial District",0603,2335,725,3060,4666,65.58%,1706,1225,2931
"District Judge, 177th Judicial District",0604,1816,375,2191,3189,68.70%,1797,294,2091
"District Judge, 177th Judicial District",0605,1711,599,2310,4217,54.78%,526,1665,2191
"District Judge, 177th Judicial District",0606,319,111,430,970,44.33%,7,412,419
"District Judge, 177th Judicial District",0607,163,51,214,712,30.06%,24,182,206
"District Judge, 177th Judicial District",0608,156,77,233,570,40.88%,73,148,221
"District Judge, 177th Judicial District",0609,2037,729,2766,4305,64.25%,1584,1046,2630
"District Judge, 177th Judicial District",0610,665,343,1008,2086,48.32%,403,537,940
"District Judge, 177th Judicial District",0611,980,229,1209,2527,47.84%,50,1132,1182
"District Judge, 177th Judicial District",0612,1927,431,2358,3388,69.60%,1753,490,2243
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0613,937,339,1276,2368,53.89%,215,1001,1216
"District Judge, 177th Judicial District",0614,1949,645,2594,4566,56.81%,744,1733,2477
"District Judge, 177th Judicial District",0615,1075,301,1376,2086,65.96%,720,597,1317
"District Judge, 177th Judicial District",0616,1809,611,2420,3516,68.83%,1557,734,2291
"District Judge, 177th Judicial District",0617,1704,650,2354,4179,56.33%,768,1491,2259
"District Judge, 177th Judicial District",0618,1698,545,2243,3801,59.01%,890,1271,2161
"District Judge, 177th Judicial District",0619,2792,663,3455,4916,70.28%,2509,840,3349
"District Judge, 177th Judicial District",0620,1747,333,2080,3318,62.69%,1054,922,1976
"District Judge, 177th Judicial District",0621,536,200,736,1272,57.86%,304,387,691
"District Judge, 177th Judicial District",0622,2129,591,2720,4562,59.62%,1422,1167,2589
"District Judge, 177th Judicial District",0623,1960,461,2421,3919,61.78%,1485,825,2310
"District Judge, 177th Judicial District",0624,297,59,356,456,78.07%,270,73,343
"District Judge, 177th Judicial District",0625,924,372,1296,1864,69.53%,691,535,1226
"District Judge, 177th Judicial District",0626,2280,784,3064,4816,63.62%,1583,1319,2902
"District Judge, 177th Judicial District",0627,935,649,1584,3235,48.96%,408,1095,1503
"District Judge, 177th Judicial District",0628,716,545,1261,2420,52.11%,423,757,1180
"District Judge, 177th Judicial District",0629,162,96,258,750,34.40%,28,222,250
"District Judge, 177th Judicial District",0630,2662,541,3203,4738,67.60%,340,2772,3112
"District Judge, 177th Judicial District",0631,1841,398,2239,3263,68.62%,1454,684,2138
"District Judge, 177th Judicial District",0632,4,1,5,241,2.07%,0,5,5
"District Judge, 177th Judicial District",0633,2286,601,2887,3912,73.80%,1950,820,2770
"District Judge, 177th Judicial District",0634,1435,499,1934,3259,59.34%,1071,783,1854
"District Judge, 177th Judicial District",0635,1645,520,2165,3512,61.65%,1577,486,2063
"District Judge, 177th Judicial District",0636,2303,922,3225,4569,70.58%,2748,355,3103
"District Judge, 177th Judicial District",0637,1095,423,1518,2591,58.59%,318,1074,1392
"District Judge, 177th Judicial District",0638,850,348,1198,2310,51.86%,97,1070,1167
"District Judge, 177th Judicial District",0639,1386,284,1670,2560,65.23%,1265,329,1594
"District Judge, 177th Judicial District",0640,1619,615,2234,3927,56.89%,1230,914,2144
"District Judge, 177th Judicial District",0641,1637,683,2320,3840,60.42%,1327,894,2221
"District Judge, 177th Judicial District",0642,1030,270,1300,1783,72.91%,997,247,1244
"District Judge, 177th Judicial District",0643,1948,593,2541,4189,60.66%,1169,1270,2439
"District Judge, 177th Judicial District",0644,2087,689,2776,4446,62.44%,1560,1094,2654
"District Judge, 177th Judicial District",0645,2145,769,2914,4517,64.51%,1184,1571,2755
"District Judge, 177th Judicial District",0646,925,399,1324,2422,54.67%,333,917,1250
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0647,1372,526,1898,4349,43.64%,406,1365,1771
"District Judge, 177th Judicial District",0648,1859,500,2359,3487,67.65%,1625,649,2274
"District Judge, 177th Judicial District",0649,1549,775,2324,4755,48.87%,569,1636,2205
"District Judge, 177th Judicial District",0650,2033,819,2852,4039,70.61%,1896,837,2733
