Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0327,738,141,879,1758,50.00%,18,824,842
"District Judge, 507th Judicial District",0328,425,286,711,1631,43.59%,194,480,674
"District Judge, 507th Judicial District",0329,589,260,849,1621,52.38%,224,582,806
"District Judge, 507th Judicial District",0330,863,326,1189,2146,55.41%,509,611,1120
"District Judge, 507th Judicial District",0331,884,234,1118,1612,69.35%,682,371,1053
"District Judge, 507th Judicial District",0332,1355,503,1858,2926,63.50%,173,1607,1780
"District Judge, 507th Judicial District",0333,1385,942,2327,3296,70.60%,1613,577,2190
"District Judge, 507th Judicial District",0334,246,104,350,786,44.53%,51,283,334
"District Judge, 507th Judicial District",0335,489,293,782,1679,46.58%,179,540,719
"District Judge, 507th Judicial District",0336,2489,689,3178,4771,66.61%,309,2766,3075
"District Judge, 507th Judicial District",0337,367,155,522,1108,47.11%,68,416,484
"District Judge, 507th Judicial District",0338,1626,632,2258,5001,45.15%,560,1579,2139
"District Judge, 507th Judicial District",0339,704,303,1007,1909,52.75%,173,773,946
"District Judge, 507th Judicial District",0340,2040,654,2694,4012,67.15%,1865,693,2558
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0341,380,278,658,1372,47.96%,132,490,622
"District Judge, 507th Judicial District",0342,311,225,536,1092,49.08%,109,396,505
"District Judge, 507th Judicial District",0343,722,370,1092,2099,52.02%,188,837,1025
"District Judge, 507th Judicial District",0344,381,207,588,1225,48.00%,22,535,557
"District Judge, 507th Judicial District",0345,575,349,924,1945,47.51%,176,689,865
"District Judge, 507th Judicial District",0346,1,0,1,1,100.00%,0,0,0
"District Judge, 507th Judicial District",0347,1461,618,2079,3614,57.53%,1154,842,1996
"District Judge, 507th Judicial District",0348,830,242,1072,1796,59.69%,707,319,1026
"District Judge, 507th Judicial District",0349,458,369,827,1372,60.28%,480,314,794
"District Judge, 507th Judicial District",0350,1674,582,2256,3269,69.01%,800,1260,2060
"District Judge, 507th Judicial District",0351,2855,570,3425,4799,71.37%,2527,741,3268
"District Judge, 507th Judicial District",0352,2023,538,2561,4278,59.86%,1723,730,2453
"District Judge, 507th Judicial District",0353,1715,659,2374,4156,57.12%,361,1929,2290
"District Judge, 507th Judicial District",0354,1569,429,1998,3520,56.76%,432,1468,1900
"District Judge, 507th Judicial District",0355,821,239,1060,1714,61.84%,108,918,1026
"District Judge, 507th Judicial District",0356,1542,582,2124,3126,67.95%,1150,849,1999
"District Judge, 507th Judicial District",0357,1882,557,2439,3685,66.19%,1709,601,2310
"District Judge, 507th Judicial District",0358,775,376,1151,2634,43.70%,116,986,1102
"District Judge, 507th Judicial District",0359,803,496,1299,3320,39.13%,126,1129,1255
"District Judge, 507th Judicial District",0360,1858,597,2455,3309,74.19%,1154,1111,2265
"District Judge, 507th Judicial District",0361,323,688,1011,1808,55.92%,155,749,904
"District Judge, 507th Judicial District",0362,2865,553,3418,5161,66.23%,2316,946,3262
"District Judge, 507th Judicial District",0363,1826,635,2461,4160,59.16%,929,1452,2381
"District Judge, 507th Judicial District",0364,1190,528,1718,2827,60.77%,748,869,1617
"District Judge, 507th Judicial District",0365,827,174,1001,1348,74.26%,121,850,971
"District Judge, 507th Judicial District",0366,988,524,1512,2887,52.37%,295,1146,1441
"District Judge, 507th Judicial District",0367,453,204,657,1256,52.31%,148,478,626
"District Judge, 507th Judicial District",0368,433,122,555,1024,54.20%,139,394,533
"District Judge, 507th Judicial District",0369,132,29,161,678,23.75%,60,88,148
"District Judge, 507th Judicial District",0370,2525,627,3152,4531,69.57%,2207,807,3014
"District Judge, 507th Judicial District",0371,210,78,288,537,53.63%,10,272,282
"District Judge, 507th Judicial District",0372,509,180,689,1274,54.08%,71,591,662
"District Judge, 507th Judicial District",0373,61,13,74,163,45.40%,1,70,71
"District Judge, 507th Judicial District",0374,176,165,341,720,47.36%,73,252,325
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0375,745,510,1255,2836,44.25%,400,774,1174
"District Judge, 507th Judicial District",0376,753,344,1097,2060,53.25%,378,654,1032
"District Judge, 507th Judicial District",0377,1381,643,2024,3137,64.52%,1492,429,1921
"District Judge, 507th Judicial District",0378,621,447,1068,1856,57.54%,631,386,1017
"District Judge, 507th Judicial District",0379,857,388,1245,2149,57.93%,104,1103,1207
"District Judge, 507th Judicial District",0380,2732,551,3283,4380,74.95%,1668,1481,3149
"District Judge, 507th Judicial District",0381,1185,432,1617,3141,51.48%,576,955,1531
"District Judge, 507th Judicial District",0382,429,206,635,1035,61.35%,379,227,606
"District Judge, 507th Judicial District",0383,722,458,1180,2373,49.73%,333,784,1117
"District Judge, 507th Judicial District",0384,1152,444,1596,2725,58.57%,352,1167,1519
"District Judge, 507th Judicial District",0385,1141,561,1702,2207,77.12%,1291,318,1609
"District Judge, 507th Judicial District",0386,1658,419,2077,3105,66.89%,1432,574,2006
"District Judge, 507th Judicial District",0387,1702,780,2482,4340,57.19%,1597,761,2358
"District Judge, 507th Judicial District",0388,2899,711,3510,5413,66.69%,1666,1801,3467
"District Judge, 507th Judicial District",0389,397,293,690,1359,50.77%,87,556,643
"District Judge, 507th Judicial District",0390,698,271,969,1482,65.38%,143,788,931
"District Judge, 507th Judicial District",0391,986,336,1322,1978,66.84%,762,493,1255
"District Judge, 507th Judicial District",0392,652,145,797,1426,55.89%,15,754,769
"District Judge, 507th Judicial District",0393,427,257,684,1274,53.69%,302,342,644
"District Judge, 507th Judicial District",0394,236,126,362,914,39.61%,114,229,343
"District Judge, 507th Judicial District",0395,1007,371,1378,1875,73.49%,908,388,1296
"District Judge, 507th Judicial District",0396,1035,204,1239,2072,59.80%,30,1167,1197
"District Judge, 507th Judicial District",0397,204,117,321,796,40.33%,103,199,302
"District Judge, 507th Judicial District",0398,1761,654,2415,4200,57.50%,1036,1260,2296
"District Judge, 507th Judicial District",0399,1291,546,1837,3340,55.00%,678,1088,1766
"District Judge, 507th Judicial District",0400,1457,372,1839,2661,69.11%,1175,589,1764
"District Judge, 507th Judicial District",0401,703,257,960,1971,48.71%,47,865,912
"District Judge, 507th Judicial District",0402,897,262,1159,1911,60.65%,71,1051,1122
"District Judge, 507th Judicial District",0403,959,387,1346,1719,78.30%,732,495,1227
"District Judge, 507th Judicial District",0404,1033,445,1478,2717,54.40%,673,746,1419
"District Judge, 507th Judicial District",0405,1910,457,2367,3067,77.18%,1745,546,2291
"District Judge, 507th Judicial District",0406,275,65,340,649,52.39%,9,319,328
"District Judge, 507th Judicial District",0407,1703,860,2563,3969,64.58%,1488,923,2411
"District Judge, 507th Judicial District",0408,520,313,833,1740,47.87%,236,541,777
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0409,501,280,781,1608,48.57%,217,519,736
"District Judge, 507th Judicial District",0410,381,96,477,934,51.07%,83,372,455
"District Judge, 507th Judicial District",0411,699,418,1117,2426,46.04%,248,803,1051
"District Judge, 507th Judicial District",0412,156,80,236,478,49.37%,13,215,228
"District Judge, 507th Judicial District",0413,1546,456,2002,3081,64.98%,691,1209,1900
"District Judge, 507th Judicial District",0414,1573,514,2087,3586,58.20%,1476,519,1995
"District Judge, 507th Judicial District",0415,1076,573,1649,2284,72.20%,1097,458,1555
"District Judge, 507th Judicial District",0416,1443,845,2288,4009,57.07%,1085,1072,2157
"District Judge, 507th Judicial District",0417,1104,397,1501,2589,57.98%,590,837,1427
"District Judge, 507th Judicial District",0418,1336,663,1999,3940,50.74%,593,1279,1872
"District Judge, 507th Judicial District",0419,1166,477,1643,2702,60.81%,909,658,1567
"District Judge, 507th Judicial District",0420,2687,731,3418,4946,69.11%,2694,580,3274
"District Judge, 507th Judicial District",0421,1240,273,1513,2023,74.79%,691,760,1451
"District Judge, 507th Judicial District",0422,1357,401,1758,3348,52.81%,62,1647,1709
"District Judge, 507th Judicial District",0423,31,e,288,604,1423,42.45%,119,460,579
"District Judge, 507th Judicial District",0424,548,158,706,1079,65.43%,372,295,667
"District Judge, 507th Judicial District",0425,257,139,396,878,45.10%,104,269,373
"District Judge, 507th Judicial District",0426,485,228,713,1266,56.32%,350,320,670
"District Judge, 507th Judicial District",0427,437,155,592,1120,52.86%,186,368,554
"District Judge, 507th Judicial District",0428,1588,855,2553,5151,49.56%,597,1813,2410
"District Judge, 507th Judicial District",0429,947,649,1596,3311,48.20%,318,1200,1518
"District Judge, 507th Judicial District",0430,524,291,815,1794,45.43%,130,625,755
"District Judge, 507th Judicial District",0431,1218,604,1822,3860,47.20%,367,1364,1731
"District Judge, 507th Judicial District",0432,456,249,705,1568,44.96%,203,451,654
"District Judge, 507th Judicial District",0433,163,88,251,561,44.74%,53,184,237
"District Judge, 507th Judicial District",0434,831,293,1124,1557,72.19%,631,403,1034
"District Judge, 507th Judicial District",0435,1951,567,2518,3363,74.87%,1546,803,2349
"District Judge, 507th Judicial District",0436,2008,678,2686,3809,70.52%,1447,1053,2500
"District Judge, 507th Judicial District",0437,1148,425,1573,2094,75.12%,1028,458,1486
"District Judge, 507th Judicial District",0438,2288,475,2763,3789,72.92%,1886,713,2599
"District Judge, 507th Judicial District",0439,1854,749,2603,3701,70.33%,1721,729,2450
"District Judge, 507th Judicial District",0440,1498,749,2247,2973,75.58%,1682,430,2112
"District Judge, 507th Judicial District",0441,824,408,1232,1695,72.68%,838,320,1158
"District Judge, 507th Judicial District",0442,2441,685,3126,4315,72.44%,2499,489,2988
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0443,415,83,498,642,77.57%,356,115,471
"District Judge, 507th Judicial District",0444,1620,679,2299,3625,63.42%,1192,961,2153
"District Judge, 507th Judicial District",0445,1036,382,1418,2134,66.45%,815,524,1339
"District Judge, 507th Judicial District",0446,89,45,134,309,43.37%,45,84,129
"District Judge, 507th Judicial District",0447,2411,464,2875,3727,77.14%,1828,897,2725
"District Judge, 507th Judicial District",0448,1763,529,2292,3155,72.65%,1236,875,2111
"District Judge, 507th Judicial District",0449,73,26,99,225,44.00%,9,88,97
"District Judge, 507th Judicial District",0450,1104,394,1498,2890,51.83%,378,1055,1433
"District Judge, 507th Judicial District",0451,1719,367,2086,2771,75.28%,1630,369,1999
"District Judge, 507th Judicial District",0452,1871,662,2533,3789,66.85%,1648,760,2408
"District Judge, 507th Judicial District",0453,661,417,1078,2039,52.87%,283,734,1017
"District Judge, 507th Judicial District",0454,1043,288,1331,2509,53.05%,24,1267,1291
"District Judge, 507th Judicial District",0455,669,173,842,1713,49.15%,30,780,810
"District Judge, 507th Judicial District",0456,1,1404,553,1957,3793,51.60%,988,874,1862
"District Judge, 507th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 507th Judicial District",0458,914,253,1167,2025,57.63%,72,1044,1116
"District Judge, 507th Judicial District",0459,2362,432,2794,3942,70.88%,2069,598,2667
"District Judge, 507th Judicial District",0460,1613,472,2085,3280,63.57%,470,1537,2007
"District Judge, 507th Judicial District",0461,2242,669,2911,4054,71.81%,1763,953,2716
"District Judge, 507th Judicial District",0462,1474,738,2212,3507,63.07%,727,1389,2116
"District Judge, 507th Judicial District",0463,1673,564,2237,3773,59.29%,826,1338,2164
"District Judge, 507th Judicial District",0464,967,582,1549,2343,66.11%,925,527,1452
"District Judge, 507th Judicial District",0465,1628,594,2222,3778,58.81%,968,1156,2124
"District Judge, 507th Judicial District",0466,2274,509,2783,4327,64.32%,1373,1295,2668
"District Judge, 507th Judicial District",0467,501,225,726,1320,55.00%,147,540,687
"District Judge, 507th Judicial District",0468,1379,747,2126,4040,52.62%,482,1538,2020
"District Judge, 507th Judicial District",0469,1867,462,2329,3257,71.51%,1763,461,2224
"District Judge, 507th Judicial District",0470,555,232,787,1358,57.95%,552,201,753
"District Judge, 507th Judicial District",0471,1057,458,1515,2473,61.26%,1091,356,1447
"District Judge, 507th Judicial District",0472,463,339,802,1131,70.91%,348,393,741
"District Judge, 507th Judicial District",0473,944,390,1334,1787,74.65%,889,374,1263
"District Judge, 507th Judicial District",0474,1417,624,2041,3127,65.27%,1287,663,1950
"District Judge, 507th Judicial District",0475,791,261,1052,1936,54.34%,393,600,993
"District Judge, 507th Judicial District",0476,1077,405,1482,2458,60.29%,717,691,1408
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0477,2027,640,2667,4010,66.51%,1758,775,2533
"District Judge, 507th Judicial District",0478,2271,683,2954,4696,62.90%,1781,1028,2809
"District Judge, 507th Judicial District",0479,1978,755,2733,3851,70.97%,1941,680,2621
"District Judge, 507th Judicial District",0480,1445,538,1983,2978,66.59%,1307,605,1912
"District Judge, 507th Judicial District",0481,1756,667,2423,3609,67.14%,1694,603,2297
"District Judge, 507th Judicial District",0482,2259,618,2877,4405,65.31%,1868,873,2741
"District Judge, 507th Judicial District",0483,2305,538,2843,4495,63.25%,1408,1278,2686
"District Judge, 507th Judicial District",0484,2020,700,2720,3981,68.32%,1650,954,2604
"District Judge, 507th Judicial District",0485,2118,567,2685,4051,66.28%,1835,739,2574
"District Judge, 507th Judicial District",0486,2310,721,3031,4195,72.25%,2240,641,2881
"District Judge, 507th Judicial District",0487,1405,527,1932,4142,46.64%,448,1315,1763
"District Judge, 507th Judicial District",0488,842,511,1353,2382,56.80%,348,936,1284
"District Judge, 507th Judicial District",0489,865,344,1209,1958,61.75%,318,829,1147
"District Judge, 507th Judicial District",0490,980,346,1326,2105,62.99%,399,853,1252
"District Judge, 507th Judicial District",0491,937,488,1425,2110,67.54%,732,614,1346
"District Judge, 507th Judicial District",0492,1217,396,1613,2552,63.21%,814,722,1536
"District Judge, 507th Judicial District",0493,1404,555,1959,3338,58.69%,684,1154,1838
"District Judge, 507th Judicial District",0494,1079,419,1498,2787,53.75%,173,1272,1445
"District Judge, 507th Judicial District",0495,1414,376,1790,2488,71.95%,1175,512,1687
"District Judge, 507th Judicial District",0496,687,549,1235,2325,53.16%,391,785,1176
"District Judge, 507th Judicial District",0497,915,281,1197,2148,55.73%,48,1104,1152
"District Judge, 507th Judicial District",0498,1069,423,1492,2527,59.04%,492,925,1417
"District Judge, 507th Judicial District",0499,1433,397,1830,2336,78.34%,1274,471,1745
"District Judge, 507th Judicial District",0500,1869,651,2520,3698,68.14%,1513,892,2405
"District Judge, 507th Judicial District",0501,1146,406,1552,2016,76.98%,652,789,1441
"District Judge, 507th Judicial District",0502,1,355,293,1559,2595,63.93%,1232,343,1575
"District Judge, 507th Judicial District",0503,1397,306,1703,2236,76.16%,1239,376,1615
"District Judge, 507th Judicial District",0504,1270,482,1752,2318,75.58%,1101,547,1648
"District Judge, 507th Judicial District",0505,1750,735,2485,4076,60.97%,1035,1264,2299
"District Judge, 507th Judicial District",0506,1513,696,2209,3544,62.33%,316,1810,2126
"District Judge, 507th Judicial District",0507,599,319,918,2562,35.83%,194,624,818
"District Judge, 507th Judicial District",0508,1519,828,2347,4767,49.23%,612,1557,2169
"District Judge, 507th Judicial District",0509,2504,669,3173,5153,61.58%,1926,1112,3038
"District Judge, 507th Judicial District",0510,1701,666,2367,3822,61.93%,971,1302,2273
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0511,2933,574,3507,4620,75.91%,2070,1306,3376
"District Judge, 507th Judicial District",0512,1668,871,2539,4559,55.69%,920,1504,2424
"District Judge, 507th Judicial District",0513,1754,413,2187,3003,72.16%,1512,549,2061
"District Judge, 507th Judicial District",0514,2288,613,2899,4378,66.22%,1932,833,2765
"District Judge, 507th Judicial District",0515,1836,468,2304,3182,72.41%,1773,424,2197
"District Judge, 507th Judicial District",0516,1316,363,1679,2799,59.99%,789,815,1604
"District Judge, 507th Judicial District",0517,1610,509,2119,3744,56.60%,868,1151,2019
"District Judge, 507th Judicial District",0518,1886,676,2562,4049,63.27%,1431,1004,2435
"District Judge, 507th Judicial District",0519,1421,518,1939,3098,62.59%,1283,568,1851
"District Judge, 507th Judicial District",0520,1788,670,2456,5202,47.21%,362,2026,2388
"District Judge, 507th Judicial District",0521,1350,578,1928,3070,62.80%,867,981,1848
"District Judge, 507th Judicial District",0522,1508,464,1972,2815,70.05%,1421,490,1911
"District Judge, 507th Judicial District",0523,1978,537,2515,4027,62.45%,1489,886,2375
"District Judge, 507th Judicial District",0524,1392,637,2029,3598,56.39%,513,1421,1934
"District Judge, 507th Judicial District",0525,1440,574,2014,3260,61.78%,427,1473,1900
"District Judge, 507th Judicial District",0526,235,157,392,820,47.80%,75,293,368
"District Judge, 507th Judicial District",0527,156,38,194,580,33.45%,69,110,179
"District Judge, 507th Judicial District",0528,17,8,25,78,32.05%,1,23,24
"District Judge, 507th Judicial District",0529,2107,434,2541,3842,66.14%,2062,364,2426
"District Judge, 507th Judicial District",0530,375,212,587,1236,47.49%,97,446,543
"District Judge, 507th Judicial District",0531,1234,166,1400,2250,62.22%,998,318,1316
"District Judge, 507th Judicial District",0532,478,140,618,1058,58.41%,397,207,604
"District Judge, 507th Judicial District",0533,352,169,521,1164,44.76%,252,236,488
"District Judge, 507th Judicial District",0534,1895,577,2472,3918,63.09%,1657,695,2352
"District Judge, 507th Judicial District",0535,132,62,194,413,46.97%,55,127,182
"District Judge, 507th Judicial District",0536,2104,1053,3157,5637,56.00%,923,2044,2967
"District Judge, 507th Judicial District",0537,1958,464,2422,3174,76.31%,1671,649,2320
"District Judge, 507th Judicial District",0538,371,203,574,1332,43.09%,15,538,553
"District Judge, 507th Judicial District",0539,811,234,1045,1535,68.08%,539,448,987
"District Judge, 507th Judicial District",0540,997,349,1346,1759,76.52%,478,754,1232
"District Judge, 507th Judicial District",0541,2157,761,2918,5001,58.35%,456,2314,2770
"District Judge, 507th Judicial District",0542,1156,406,1562,2654,58.85%,96,1405,1501
"District Judge, 507th Judicial District",0543,553,321,874,1658,52.71%,188,644,832
"District Judge, 507th Judicial District",0544,84,54,138,313,44.09%,17,118,135
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0545,2015,468,2483,3949,62.88%,1028,1318,2346
"District Judge, 507th Judicial District",0546,1524,278,1802,2471,72.93%,1500,250,1750
"District Judge, 507th Judicial District",0547,1413,270,1683,2534,66.42%,1074,527,1601
"District Judge, 507th Judicial District",0548,882,395,1277,2339,54.60%,530,699,1229
"District Judge, 507th Judicial District",0549,1105,447,1552,2786,55.71%,171,1332,1503
"District Judge, 507th Judicial District",0550,1171,553,1724,3245,53.13%,682,980,1662
"District Judge, 507th Judicial District",0551,2586,793,3379,4428,76.31%,2482,745,3227
"District Judge, 507th Judicial District",0552,2090,784,2874,3762,76.40%,2251,498,2749
"District Judge, 507th Judicial District",0553,962,317,1279,2193,58.32%,456,774,1230
"District Judge, 507th Judicial District",0554,597,271,868,1774,48.93%,173,653,826
"District Judge, 507th Judicial District",0555,639,390,1029,2286,45.01%,167,818,985
"District Judge, 507th Judicial District",0556,759,435,1194,2491,47.93%,222,919,1141
"District Judge, 507th Judicial District",0557,925,460,1385,2955,46.87%,362,914,1276
"District Judge, 507th Judicial District",0558,1812,721,2533,4718,53.69%,714,1720,2434
"District Judge, 507th Judicial District",0559,1901,701,2602,4984,52.21%,568,1916,2484
"District Judge, 507th Judicial District",0560,290,247,537,1141,47.06%,81,422,503
"District Judge, 507th Judicial District",0561,1023,624,1647,3138,52.49%,913,642,1555
"District Judge, 507th Judicial District",0562,222,116,338,691,48.91%,33,279,312
"District Judge, 507th Judicial District",0563,2069,337,2406,3468,69.38%,1793,505,2298
"District Judge, 507th Judicial District",0564,1551,526,2077,3240,64.10%,555,1401,1956
"District Judge, 507th Judicial District",0565,335,148,484,1414,34.23%,75,388,463
"District Judge, 507th Judicial District",0566,1183,441,1624,3029,53.62%,395,1156,1551
"District Judge, 507th Judicial District",0567,965,390,1355,2851,47.53%,337,925,1262
"District Judge, 507th Judicial District",0568,1833,697,2530,3638,69.54%,1559,790,2349
"District Judge, 507th Judicial District",0569,2027,747,2774,4125,67.25%,1287,1307,2594
"District Judge, 507th Judicial District",0570,766,278,1044,1598,65.33%,367,598,965
"District Judge, 507th Judicial District",0571,521,314,835,1950,42.82%,205,584,789
"District Judge, 507th Judicial District",0572,1522,444,1966,3308,59.43%,818,1043,1861
"District Judge, 507th Judicial District",0573,489,215,704,1625,43.32%,15,678,693
"District Judge, 507th Judicial District",0574,112,74,186,391,47.57%,18,159,177
"District Judge, 507th Judicial District",0575,1905,535,2440,3557,68.60%,1298,1021,2319
"District Judge, 507th Judicial District",0576,1107,375,1482,2830,52.37%,84,1346,1430
"District Judge, 507th Judicial District",0577,885,205,1090,1586,68.73%,620,406,1026
"District Judge, 507th Judicial District",0578,1026,405,1431,1862,76.85%,862,461,1323
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0579,287,181,468,1139,41.09%,76,369,445
"District Judge, 507th Judicial District",0580,366,108,474,985,48.12%,20,445,465
"District Judge, 507th Judicial District",0581,456,137,593,1033,57.41%,17,552,569
"District Judge, 507th Judicial District",0582,543,232,775,1607,48.23%,45,696,741
"District Judge, 507th Judicial District",0583,433,155,588,1286,45.72%,18,557,575
"District Judge, 507th Judicial District",0584,367,120,487,1062,45.86%,35,433,468
"District Judge, 507th Judicial District",0585,829,280,1109,2346,47.27%,54,1020,1074
"District Judge, 507th Judicial District",0586,1790,790,2580,4521,57.07%,1408,1058,2466
"District Judge, 507th Judicial District",0587,1204,431,1635,2870,56.97%,512,1055,1567
"District Judge, 507th Judicial District",0588,1940,606,2546,3780,67.35%,1634,809,2443
"District Judge, 507th Judicial District",0589,1539,545,2084,3780,55.13%,948,1040,1988
"District Judge, 507th Judicial District",0590,1230,400,1630,2176,74.91%,1240,304,1544
"District Judge, 507th Judicial District",0591,651,462,1113,2274,48.94%,242,805,1047
"District Judge, 507th Judicial District",0592,449,272,721,1446,49.86%,139,542,681
"District Judge, 507th Judicial District",0593,1581,755,2316,4179,55.42%,864,1323,2187
"District Judge, 507th Judicial District",0594,1243,316,1559,2578,60.47%,404,1107,1511
"District Judge, 507th Judicial District",0595,600,299,899,1833,49.05%,124,739,863
"District Judge, 507th Judicial District",0596,1377,501,1878,3574,52.55%,808,969,1777
"District Judge, 507th Judicial District",0597,1204,609,1813,3587,50.54%,594,1131,1725
"District Judge, 507th Judicial District",0598,2389,731,3120,5253,59.39%,1002,1979,2981
"District Judge, 507th Judicial District",0599,1378,493,1871,3005,62.26%,607,1199,1806
"District Judge, 507th Judicial District",0600,1602,776,2378,4204,56.57%,745,1503,2248
"District Judge, 507th Judicial District",0601,2220,670,2890,4151,69.62%,2031,743,2774
"District Judge, 507th Judicial District",0602,754,234,988,1441,68.56%,648,297,945
"District Judge, 507th Judicial District",0603,2335,725,3060,4666,65.58%,1674,1258,2932
"District Judge, 507th Judicial District",0604,1816,375,2191,3189,68.70%,1778,308,2086
"District Judge, 507th Judicial District",0605,1711,599,2310,4217,54.78%,482,1710,2192
"District Judge, 507th Judicial District",0606,319,111,430,970,44.33%,9,409,418
"District Judge, 507th Judicial District",0607,163,51,214,712,30.06%,23,182,205
"District Judge, 507th Judicial District",0608,156,77,233,570,40.88%,69,151,220
"District Judge, 507th Judicial District",0609,2037,729,2766,4305,64.25%,1524,1101,2625
"District Judge, 507th Judicial District",0610,665,343,1008,2086,48.32%,392,549,941
"District Judge, 507th Judicial District",0611,980,229,1209,2527,47.84%,45,1137,1182
"District Judge, 507th Judicial District",0612,1927,431,2358,3388,69.60%,1713,523,2236
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0613,937,339,1276,2368,53.89%,196,1024,1220
"District Judge, 507th Judicial District",0614,1949,645,2594,4566,56.81%,725,1748,2473
"District Judge, 507th Judicial District",0615,1075,301,1376,2086,65.96%,692,623,1315
"District Judge, 507th Judicial District",0616,1809,611,2420,3516,68.83%,1537,749,2286
"District Judge, 507th Judicial District",0617,1704,650,2354,4179,56.33%,731,1526,2257
"District Judge, 507th Judicial District",0618,1698,545,2243,3801,59.01%,872,1292,2164
"District Judge, 507th Judicial District",0619,2792,663,3455,4916,70.28%,2477,867,3344
"District Judge, 507th Judicial District",0620,1747,333,2080,3318,62.69%,1040,930,1970
"District Judge, 507th Judicial District",0621,536,200,736,1272,57.86%,284,408,692
"District Judge, 507th Judicial District",0622,2129,591,2720,4562,59.62%,1397,1192,2589
"District Judge, 507th Judicial District",0623,1960,461,2421,3919,61.78%,1461,834,2295
"District Judge, 507th Judicial District",0624,297,59,356,456,78.07%,268,72,340
"District Judge, 507th Judicial District",0625,924,372,1296,1864,69.53%,687,541,1228
"District Judge, 507th Judicial District",0626,2280,784,3054,4816,63.62%,1555,1341,2896
"District Judge, 507th Judicial District",0627,935,649,1584,3235,48.96%,396,1103,1499
"District Judge, 507th Judicial District",0628,716,545,1261,2420,52.11%,403,775,1178
"District Judge, 507th Judicial District",0629,162,96,258,750,34.40%,29,220,249
"District Judge, 507th Judicial District",0630,2662,541,3203,4738,67.60%,306,2798,3104
"District Judge, 507th Judicial District",0631,1841,398,2239,3263,68.62%,1443,691,2134
"District Judge, 507th Judicial District",0632,4,1,5,241,2.07%,0,5,5
"District Judge, 507th Judicial District",0633,2285,601,2887,3912,73.80%,1916,847,2763
"District Judge, 507th Judicial District",0634,1435,499,1934,3259,59.34%,1050,799,1849
"District Judge, 507th Judicial District",0635,1645,520,2165,3512,61.65%,1555,505,2060
"District Judge, 507th Judicial District",0636,2303,922,3225,4569,70.58%,2732,366,3098
"District Judge, 507th Judicial District",0637,1095,423,1518,2591,58.59%,288,1111,1399
"District Judge, 507th Judicial District",0638,850,348,1198,2310,51.86%,97,1069,1166
"District Judge, 507th Judicial District",0639,1385,284,1670,2560,65.23%,1258,334,1592
"District Judge, 507th Judicial District",0640,1619,615,2234,3927,56.89%,1206,936,2142
"District Judge, 507th Judicial District",0641,1637,683,2320,3840,60.42%,1306,910,2216
"District Judge, 507th Judicial District",0642,1030,270,1300,1783,72.91%,985,263,1248
"District Judge, 507th Judicial District",0643,1948,593,2541,4189,60.66%,1126,1311,2437
"District Judge, 507th Judicial District",0644,2087,689,2776,4446,62.44%,1547,1110,2657
"District Judge, 507th Judicial District",0645,2145,769,2914,4517,64.51%,1135,1619,2754
"District Judge, 507th Judicial District",0646,925,399,1324,2422,54.67%,329,921,1250
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0647,1372,526,1898,4349,43.64%,394,1376,1770
"District Judge, 507th Judicial District",0648,1859,500,2359,3487,67.65%,1597,672,2269
