Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0325,802,257,1059,2176,48.67%,190,804,994
"District Judge, 176th Judicial District",0326,271,129,400,736,54.35%,142,224,366
"District Judge, 176th Judicial District",0327,738,141,879,1758,50.00%,27,821,848
"District Judge, 176th Judicial District",0328,425,286,711,1631,43.59%,209,459,668
"District Judge, 176th Judicial District",0329,589,260,849,1621,52.38%,252,549,801
"District Judge, 176th Judicial District",0330,863,326,1189,2146,55.41%,530,589,1119
"District Judge, 176th Judicial District",0331,884,234,1118,1612,69.35%,685,367,1052
"District Judge, 176th Judicial District",0332,1355,503,1858,2926,63.50%,181,1595,1776
"District Judge, 176th Judicial District",0333,1385,942,2327,3296,70.60%,1615,581,2196
"District Judge, 176th Judicial District",0334,246,104,350,786,44.53%,58,276,334
"District Judge, 176th Judicial District",0335,489,293,782,1679,46.58%,193,531,724
"District Judge, 176th Judicial District",0336,2489,689,3178,4771,66.61%,315,2772,3087
"District Judge, 176th Judicial District",0337,367,155,522,1108,47.11%,71,421,492
"District Judge, 176th Judicial District",0338,1626,632,2258,5001,45.15%,572,1573,2145
"District Judge, 176th Judicial District",0339,704,303,1007,1909,52.75%,200,734,934
"District Judge, 176th Judicial District",0340,2040,654,2694,4012,67.15%,1880,673,2553
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0341,380,278,658,1372,47.96%,153,467,620
"District Judge, 176th Judicial District",0342,311,225,536,1092,49.08%,114,391,505
"District Judge, 176th Judicial District",0343,722,370,1092,2099,52.02%,216,798,1014
"District Judge, 176th Judicial District",0344,381,207,588,1225,48.00%,21,536,557
"District Judge, 176th Judicial District",0345,575,349,924,1945,47.51%,182,686,868
"District Judge, 176th Judicial District",0346,1,0,1,1,100.00%,0,0,0
"District Judge, 176th Judicial District",0347,1461,618,2079,3614,57.53%,1192,801,1993
"District Judge, 176th Judicial District",0348,830,242,1072,1796,59.69%,716,308,1024
"District Judge, 176th Judicial District",0349,458,369,827,1372,60.28%,486,309,795
"District Judge, 176th Judicial District",0350,1674,582,2256,3269,69.01%,835,1236,2071
"District Judge, 176th Judicial District",0351,2855,570,3425,4799,71.37%,2567,713,3280
"District Judge, 176th Judicial District",0352,2023,538,2561,4278,59.86%,1753,703,2456
"District Judge, 176th Judicial District",0353,1715,659,2374,4156,57.12%,401,1891,2292
"District Judge, 176th Judicial District",0354,1569,429,1998,3520,56.76%,440,1446,1886
"District Judge, 176th Judicial District",0355,821,239,1060,1714,61.84%,119,907,1026
"District Judge, 176th Judicial District",0356,1542,582,2124,3126,67.95%,1168,831,1999
"District Judge, 176th Judicial District",0357,1882,557,2439,3685,66.19%,1736,579,2315
"District Judge, 176th Judicial District",0358,775,376,1151,2634,43.70%,122,983,1105
"District Judge, 176th Judicial District",0359,803,496,1299,3320,39.13%,130,1127,1257
"District Judge, 176th Judicial District",0360,1858,597,2455,3309,74.19%,1178,1085,2263
"District Judge, 176th Judicial District",0361,323,688,1011,1808,55.92%,152,756,908
"District Judge, 176th Judicial District",0362,2865,553,3418,5161,66.23%,2357,911,3268
"District Judge, 176th Judicial District",0363,1826,635,2461,4160,59.16%,970,1412,2382
"District Judge, 176th Judicial District",0364,1190,528,1718,2827,60.77%,767,849,1616
"District Judge, 176th Judicial District",0365,827,174,1001,1348,74.26%,114,864,978
"District Judge, 176th Judicial District",0366,988,524,1512,2887,52.37%,312,1133,1445
"District Judge, 176th Judicial District",0367,453,204,657,1256,52.31%,153,472,625
"District Judge, 176th Judicial District",0368,433,122,555,1024,54.20%,140,396,536
"District Judge, 176th Judicial District",0369,132,29,161,678,23.75%,57,90,147
"District Judge, 176th Judicial District",0370,2525,627,3152,4531,69.57%,2226,790,3016
"District Judge, 176th Judicial District",0371,210,78,288,537,53.63%,12,271,283
"District Judge, 176th Judicial District",0372,509,180,689,1274,54.08%,77,588,665
"District Judge, 176th Judicial District",0373,61,13,74,163,45.40%,1,70,71
"District Judge, 176th Judicial District",0374,176,165,341,720,47.36%,83,242,325
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0375,745,510,1255,2836,44.25%,428,754,1182
"District Judge, 176th Judicial District",0376,753,344,1097,2060,53.25%,397,631,1028
"District Judge, 176th Judicial District",0377,1381,643,2024,3137,64.52%,1505,415,1920
"District Judge, 176th Judicial District",0378,621,447,1068,1856,57.54%,645,375,1020
"District Judge, 176th Judicial District",0379,857,388,1245,2149,57.93%,110,1103,1213
"District Judge, 176th Judicial District",0380,2732,551,3283,4380,74.95%,1702,1451,3153
"District Judge, 176th Judicial District",0381,1185,432,1617,3141,51.48%,617,921,1538
"District Judge, 176th Judicial District",0382,429,206,635,1035,61.35%,386,223,609
"District Judge, 176th Judicial District",0383,722,458,1180,2373,49.73%,353,761,1114
"District Judge, 176th Judicial District",0384,1152,444,1596,2725,58.57%,352,1167,1519
"District Judge, 176th Judicial District",0385,1141,561,1702,2207,77.12%,1303,304,1607
"District Judge, 176th Judicial District",0386,1658,419,2077,3105,66.89%,1462,548,2010
"District Judge, 176th Judicial District",0387,1702,780,2482,4340,57.19%,1626,742,2368
"District Judge, 176th Judicial District",0388,2899,711,3510,5413,66.69%,1686,1787,3473
"District Judge, 176th Judicial District",0389,397,293,690,1359,50.77%,97,548,645
"District Judge, 176th Judicial District",0390,698,271,969,1482,65.38%,138,798,936
"District Judge, 176th Judicial District",0391,986,336,1322,1978,66.84%,776,484,1260
"District Judge, 176th Judicial District",0392,652,145,797,1426,55.89%,15,759,774
"District Judge, 176th Judicial District",0393,427,257,684,1274,53.69%,307,339,646
"District Judge, 176th Judicial District",0394,236,126,362,914,39.61%,114,228,342
"District Judge, 176th Judicial District",0395,1007,371,1378,1875,73.49%,925,372,1297
"District Judge, 176th Judicial District",0396,1035,204,1239,2072,59.80%,33,1169,1202
"District Judge, 176th Judicial District",0397,204,117,321,796,40.33%,113,186,299
"District Judge, 176th Judicial District",0398,1761,654,2415,4200,57.50%,1058,1245,2303
"District Judge, 176th Judicial District",0399,1291,546,1837,3340,55.00%,677,1087,1764
"District Judge, 176th Judicial District",0400,1457,372,1839,2661,69.11%,1184,578,1762
"District Judge, 176th Judicial District",0401,703,257,960,1971,48.71%,46,869,915
"District Judge, 176th Judicial District",0402,897,262,1159,1911,60.65%,74,1051,1125
"District Judge, 176th Judicial District",0403,959,387,1346,1719,78.30%,751,487,1238
"District Judge, 176th Judicial District",0404,1033,445,1478,2717,54.40%,695,725,1420
"District Judge, 176th Judicial District",0405,1910,457,2367,3067,77.18%,1764,530,2294
"District Judge, 176th Judicial District",0406,275,65,340,649,52.39%,7,321,328
"District Judge, 176th Judicial District",0407,1703,860,2563,3969,64.58%,1512,901,2413
"District Judge, 176th Judicial District",0408,520,313,833,1740,47.87%,250,525,775
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0409,501,280,781,1608,48.57%,239,494,733
"District Judge, 176th Judicial District",0410,381,96,477,934,51.07%,85,371,456
"District Judge, 176th Judicial District",0411,699,418,1117,2426,46.04%,268,777,1045
"District Judge, 176th Judicial District",0412,156,80,236,478,49.37%,9,219,228
"District Judge, 176th Judicial District",0413,1546,456,2002,3081,64.98%,713,1184,1897
"District Judge, 176th Judicial District",0414,1573,514,2087,3586,58.20%,1500,493,1993
"District Judge, 176th Judicial District",0415,1076,573,1649,2284,72.20%,1107,456,1563
"District Judge, 176th Judicial District",0416,1443,845,2288,4009,57.07%,1100,1064,2164
"District Judge, 176th Judicial District",0417,1104,397,1501,2589,57.98%,612,814,1426
"District Judge, 176th Judicial District",0418,1336,663,1999,3940,50.74%,639,1233,1872
"District Judge, 176th Judicial District",0419,1166,477,1643,2702,60.81%,932,636,1568
"District Judge, 176th Judicial District",0420,2687,731,3418,4946,69.11%,2737,543,3280
"District Judge, 176th Judicial District",0421,1240,273,1513,2023,74.79%,699,752,1451
"District Judge, 176th Judicial District",0422,1357,401,1768,3348,52.81%,64,1655,1719
"District Judge, 176th Judicial District",0423,316,288,604,1423,42.45%,125,451,576
"District Judge, 176th Judicial District",0424,548,158,706,1079,65.43%,367,297,664
"District Judge, 176th Judicial District",0425,257,139,396,878,45.10%,111,265,376
"District Judge, 176th Judicial District",0426,485,228,713,1266,56.32%,366,303,669
"District Judge, 176th Judicial District",0427,437,155,592,1120,52.86%,196,354,550
"District Judge, 176th Judicial District",0428,1588,865,2553,5151,49.56%,634,1773,2407
"District Judge, 176th Judicial District",0429,947,649,1596,3311,48.20%,330,1192,1522
"District Judge, 176th Judicial District",0430,524,291,815,1794,45.43%,139,619,758
"District Judge, 176th Judicial District",0431,1218,604,1822,3860,47.20%,384,1349,1733
"District Judge, 176th Judicial District",0432,456,249,705,1568,44.96%,203,452,655
"District Judge, 176th Judicial District",0433,163,88,251,561,44.74%,60,177,237
"District Judge, 176th Judicial District",0434,831,293,1124,1557,72.19%,636,398,1034
"District Judge, 176th Judicial District",0435,1951,567,2518,3363,74.87%,1591,774,2365
"District Judge, 176th Judicial District",0436,2008,678,2686,3809,70.52%,1492,1013,2505
"District Judge, 176th Judicial District",0437,1148,425,1573,2094,75.12%,1049,440,1489
"District Judge, 176th Judicial District",0438,2288,475,2763,3789,72.92%,1919,680,2599
"District Judge, 176th Judicial District",0439,1854,749,2603,3701,70.33%,1758,693,2451
"District Judge, 176th Judicial District",0440,1498,749,2247,2973,75.58%,1707,414,2121
"District Judge, 176th Judicial District",0441,824,408,1232,1695,72.68%,849,308,1157
"District Judge, 176th Judicial District",0442,2441,685,3126,4315,72.44%,2497,489,2986
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0443,415,83,498,642,77.57%,362,107,469
"District Judge, 176th Judicial District",0444,1620,679,2299,3625,63.42%,1219,926,2145
"District Judge, 176th Judicial District",0445,1036,382,1418,2134,66.45%,852,491,1343
"District Judge, 176th Judicial District",0446,89,45,134,309,43.37%,49,79,128
"District Judge, 176th Judicial District",0447,2411,464,2875,3727,77.14%,1850,882,2732
"District Judge, 176th Judicial District",0448,1763,529,2292,3155,72.65%,1306,808,2114
"District Judge, 176th Judicial District",0449,73,26,99,225,44.00%,12,85,97
"District Judge, 176th Judicial District",0450,1104,394,1498,2890,51.83%,391,1043,1434
"District Judge, 176th Judicial District",0451,1719,367,2086,2771,75.28%,1643,360,2003
"District Judge, 176th Judicial District",0452,1871,662,2533,3789,66.85%,1673,747,2420
"District Judge, 176th Judicial District",0453,661,417,1078,2039,52.87%,293,719,1012
"District Judge, 176th Judicial District",0454,1043,288,1331,2509,53.05%,26,1264,1290
"District Judge, 176th Judicial District",0455,669,173,842,1713,49.15%,33,780,813
"District Judge, 176th Judicial District",0456,1404,553,1957,3793,51.60%,1017,841,1858
"District Judge, 176th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 176th Judicial District",0458,914,253,1167,2025,57.63%,82,1042,1124
"District Judge, 176th Judicial District",0459,2362,432,2794,3942,70.88%,2110,563,2673
"District Judge, 176th Judicial District",0460,1613,472,2085,3280,63.57%,504,1508,2012
"District Judge, 176th Judicial District",0461,2242,669,2911,4054,71.81%,1804,908,2712
"District Judge, 176th Judicial District",0462,1474,738,2212,3507,63.07%,757,1359,2116
"District Judge, 176th Judicial District",0463,1573,564,2237,3773,59.29%,849,1315,2164
"District Judge, 176th Judicial District",0464,967,582,1549,2343,66.11%,952,502,1454
"District Judge, 176th Judicial District",0465,1628,594,2222,3778,58.81%,982,1143,2125
"District Judge, 176th Judicial District",0466,2274,509,2783,4327,64.32%,1397,1277,2674
"District Judge, 176th Judicial District",0467,501,225,726,1320,55.00%,148,541,689
"District Judge, 176th Judicial District",0468,1379,747,2125,4040,52.62%,512,1505,2017
"District Judge, 176th Judicial District",0469,1857,462,2329,3257,71.51%,1770,451,2221
"District Judge, 176th Judicial District",0470,555,232,787,1358,57.95%,560,192,752
"District Judge, 176th Judicial District",0471,1057,458,1515,2473,61.26%,1121,333,1454
"District Judge, 176th Judicial District",0472,463,339,802,1131,70.91%,364,378,742
"District Judge, 176th Judicial District",0473,944,390,1334,1787,74.65%,905,358,1263
"District Judge, 176th Judicial District",0474,1417,624,2041,3127,65.27%,1308,644,1952
"District Judge, 176th Judicial District",0475,791,251,1052,1936,54.34%,415,580,995
"District Judge, 176th Judicial District",0476,1077,405,1482,2458,60.29%,760,648,1408
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0477,2027,640,2667,4010,66.51%,1805,737,2542
"District Judge, 176th Judicial District",0478,2271,683,2954,4696,62.90%,1813,999,2812
"District Judge, 176th Judicial District",0479,1978,755,2733,3851,70.97%,1972,659,2631
"District Judge, 176th Judicial District",0480,1445,538,1983,2978,66.59%,1326,581,1907
"District Judge, 176th Judicial District",0481,1756,667,2423,3609,67.14%,1713,581,2294
"District Judge, 176th Judicial District",0482,2259,618,2877,4405,65.31%,1910,840,2750
"District Judge, 176th Judicial District",0483,2305,538,2843,4495,63.25%,1430,1254,2684
"District Judge, 176th Judicial District",0484,2020,700,2720,3981,68.32%,1691,915,2606
"District Judge, 176th Judicial District",0485,2118,567,2685,4051,66.28%,1875,703,2578
"District Judge, 176th Judicial District",0486,2310,721,3031,4195,72.25%,2267,627,2894
"District Judge, 176th Judicial District",0487,1405,527,1932,4142,46.64%,468,1303,1771
"District Judge, 176th Judicial District",0488,842,511,1353,2382,56.80%,376,909,1285
"District Judge, 176th Judicial District",0489,865,344,1209,1958,61.75%,331,822,1153
"District Judge, 176th Judicial District",0490,980,346,1326,2105,62.99%,415,838,1253
"District Judge, 176th Judicial District",0491,937,488,1425,2110,67.54%,766,576,1342
"District Judge, 176th Judicial District",0492,1217,396,1613,2552,63.21%,830,711,1541
"District Judge, 176th Judicial District",0493,1404,555,1959,3338,58.69%,715,1120,1835
"District Judge, 176th Judicial District",0494,1079,419,1498,2787,53.75%,192,1249,1441
"District Judge, 176th Judicial District",0495,1414,376,1790,2488,71.95%,1183,505,1688
"District Judge, 176th Judicial District",0496,687,549,1236,2325,53.16%,413,764,1177
"District Judge, 176th Judicial District",0497,915,281,1197,2148,55.73%,52,1104,1156
"District Judge, 176th Judicial District",0498,1069,423,1492,2527,59.04%,507,912,1419
"District Judge, 176th Judicial District",0499,1433,397,1830,2336,78.34%,1295,449,1744
"District Judge, 176th Judicial District",0500,1869,651,2520,3698,68.14%,1545,857,2402
"District Judge, 176th Judicial District",0501,1146,406,1552,2016,76.98%,678,764,1442
"District Judge, 176th Judicial District",0502,1,355,293,1559,2595,63.93%,1247,331,1578
"District Judge, 176th Judicial District",0503,1397,306,1703,2236,76.16%,1238,378,1616
"District Judge, 176th Judicial District",0504,1270,482,1752,2318,75.58%,1123,526,1649
"District Judge, 176th Judicial District",0505,1750,735,2485,4076,60.97%,1096,1209,2305
"District Judge, 176th Judicial District",0506,1513,696,2209,3544,62.33%,334,1796,2130
"District Judge, 176th Judicial District",0507,599,319,918,2562,35.83%,197,618,815
"District Judge, 176th Judicial District",0508,1519,828,2347,4767,49.23%,635,1534,2169
"District Judge, 176th Judicial District",0509,2504,669,3173,5153,61.58%,1962,1076,3038
"District Judge, 176th Judicial District",0510,1701,666,2367,3822,61.93%,991,1287,2278
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0511,2933,574,3507,4620,75.91%,2092,1285,3377
"District Judge, 176th Judicial District",0512,1668,871,2539,4559,55.69%,957,1466,2423
"District Judge, 176th Judicial District",0513,1754,413,2187,3003,72.16%,1540,530,2070
"District Judge, 176th Judicial District",0514,2288,613,2899,4378,66.22%,1942,821,2763
"District Judge, 176th Judicial District",0515,1836,468,2304,3182,72.41%,1791,412,2203
"District Judge, 176th Judicial District",0516,1316,363,1679,2799,59.99%,807,802,1609
"District Judge, 176th Judicial District",0517,1610,509,2119,3744,56.60%,903,1119,2022
"District Judge, 176th Judicial District",0518,1886,676,2562,4049,63.27%,1464,977,2441
"District Judge, 176th Judicial District",0519,1421,518,1939,3098,62.59%,1298,553,1851
"District Judge, 176th Judicial District",0520,1788,670,2456,5202,47.21%,379,2007,2386
"District Judge, 176th Judicial District",0521,1350,578,1928,3070,62.80%,882,974,1856
"District Judge, 176th Judicial District",0522,1508,464,1972,2815,70.05%,1450,458,1908
"District Judge, 176th Judicial District",0523,1978,537,2515,4027,62.45%,1525,850,2375
"District Judge, 176th Judicial District",0524,1392,637,2029,3598,56.39%,532,1402,1934
"District Judge, 176th Judicial District",0525,1440,574,2014,3260,61.78%,441,1474,1915
"District Judge, 176th Judicial District",0526,235,157,392,820,47.80%,80,282,362
"District Judge, 176th Judicial District",0527,156,38,194,580,33.45%,72,109,181
"District Judge, 176th Judicial District",0528,17,8,25,78,32.05%,2,22,24
"District Judge, 176th Judicial District",0529,2107,434,2541,3842,66.14%,2072,357,2429
"District Judge, 176th Judicial District",0530,375,212,587,1236,47.49%,114,423,537
"District Judge, 176th Judicial District",0531,1234,166,1400,2250,62.22%,1012,306,1318
"District Judge, 176th Judicial District",0532,478,140,618,1058,58.41%,408,197,605
"District Judge, 176th Judicial District",0533,352,169,521,1164,44.76%,252,233,485
"District Judge, 176th Judicial District",0534,1895,577,2472,3918,63.09%,1684,669,2353
"District Judge, 176th Judicial District",0535,132,62,194,413,46.97%,58,121,179
"District Judge, 176th Judicial District",0536,2104,1053,3157,5637,56.00%,995,1983,2978
"District Judge, 176th Judicial District",0537,1958,464,2422,3174,76.31%,1692,621,2313
"District Judge, 176th Judicial District",0538,371,203,574,1332,43.09%,18,543,561
"District Judge, 176th Judicial District",0539,811,234,1045,1535,68.08%,550,437,987
"District Judge, 176th Judicial District",0540,997,349,1346,1759,76.52%,516,718,1234
"District Judge, 176th Judicial District",0541,2157,761,2918,5001,58.35%,464,2319,2783
"District Judge, 176th Judicial District",0542,1156,406,1562,2654,58.85%,108,1397,1505
"District Judge, 176th Judicial District",0543,553,321,874,1658,52.71%,212,614,826
"District Judge, 176th Judicial District",0544,84,54,138,313,44.09%,17,116,133
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0545,2015,468,2483,3949,62.88%,1076,1281,2357
"District Judge, 176th Judicial District",0546,1524,278,1802,2471,72.93%,1518,233,1751
"District Judge, 176th Judicial District",0547,1413,270,1683,2534,66.42%,1087,514,1601
"District Judge, 176th Judicial District",0548,882,395,1277,2339,54.60%,547,683,1230
"District Judge, 176th Judicial District",0549,1105,447,1552,2786,55.71%,196,1313,1509
"District Judge, 176th Judicial District",0550,1171,553,1724,3245,53.13%,715,948,1663
"District Judge, 176th Judicial District",0551,2586,793,3379,4428,76.31%,2514,711,3225
"District Judge, 176th Judicial District",0552,2090,784,2874,3762,76.40%,2269,487,2756
"District Judge, 176th Judicial District",0553,962,317,1279,2193,58.32%,480,749,1229
"District Judge, 176th Judicial District",0554,597,271,868,1774,48.93%,180,656,836
"District Judge, 176th Judicial District",0555,639,390,1029,2286,45.01%,179,808,987
"District Judge, 176th Judicial District",0556,759,435,1194,2491,47.93%,231,909,1140
"District Judge, 176th Judicial District",0557,925,460,1385,2955,46.87%,385,891,1276
"District Judge, 176th Judicial District",0558,1812,721,2533,4718,53.69%,735,1694,2429
"District Judge, 176th Judicial District",0559,1901,701,2602,4984,52.21%,582,1907,2489
"District Judge, 176th Judicial District",0560,290,247,537,1141,47.06%,93,406,499
"District Judge, 176th Judicial District",0561,1023,624,1647,3138,52.49%,948,613,1561
"District Judge, 176th Judicial District",0562,222,116,338,691,48.91%,42,267,309
"District Judge, 176th Judicial District",0563,2069,337,2406,3468,69.38%,1819,482,2301
"District Judge, 176th Judicial District",0564,1551,526,2077,3240,64.10%,563,1393,1956
"District Judge, 176th Judicial District",0565,336,148,484,1414,34.23%,78,381,459
"District Judge, 176th Judicial District",0566,1183,441,1624,3029,53.62%,401,1156,1557
"District Judge, 176th Judicial District",0567,965,390,1355,2851,47.53%,343,920,1263
"District Judge, 176th Judicial District",0568,1833,697,2530,3638,69.54%,1574,779,2353
"District Judge, 176th Judicial District",0569,2027,747,2774,4125,67.25%,1310,1275,2585
"District Judge, 176th Judicial District",0570,766,278,1044,1598,65.33%,385,580,965
"District Judge, 176th Judicial District",0571,521,314,835,1950,42.82%,244,547,791
"District Judge, 176th Judicial District",0572,1522,444,1966,3308,59.43%,843,1026,1869
"District Judge, 176th Judicial District",0573,489,215,704,1625,43.32%,17,675,692
"District Judge, 176th Judicial District",0574,112,74,186,391,47.57%,22,156,178
"District Judge, 176th Judicial District",0575,1905,535,2440,3557,68.60%,1313,1010,2323
"District Judge, 176th Judicial District",0576,1107,375,1482,2830,52.37%,86,1346,1432
"District Judge, 176th Judicial District",0577,885,205,1090,1586,68.73%,643,386,1029
"District Judge, 176th Judicial District",0578,1026,405,1431,1862,76.85%,886,439,1325
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0579,287,181,468,1139,41.09%,74,369,443
"District Judge, 176th Judicial District",0580,366,108,474,985,48.12%,18,447,465
"District Judge, 176th Judicial District",0581,456,137,593,1033,57.41%,20,551,571
"District Judge, 176th Judicial District",0582,543,232,775,1607,48.23%,49,693,742
"District Judge, 176th Judicial District",0583,433,155,588,1286,45.72%,15,559,574
"District Judge, 176th Judicial District",0584,367,120,487,1062,45.86%,32,433,465
"District Judge, 176th Judicial District",0585,829,280,1109,2346,47.27%,56,1013,1069
"District Judge, 176th Judicial District",0586,1790,790,2580,4521,57.07%,1432,1035,2467
"District Judge, 176th Judicial District",0587,1204,431,1635,2870,56.97%,509,1057,1566
"District Judge, 176th Judicial District",0588,1940,606,2546,3780,67.35%,1657,785,2442
"District Judge, 176th Judicial District",0589,1539,545,2084,3780,55.13%,968,1027,1995
"District Judge, 176th Judicial District",0590,1230,400,1630,2176,74.91%,1254,295,1549
"District Judge, 176th Judicial District",0591,651,462,1113,2274,48.94%,264,781,1045
"District Judge, 176th Judicial District",0592,449,272,721,1446,49.86%,148,538,686
"District Judge, 176th Judicial District",0593,1581,755,2316,4179,55.42%,888,1296,2184
"District Judge, 176th Judicial District",0594,1243,316,1559,2578,60.47%,413,1101,1514
"District Judge, 176th Judicial District",0595,600,299,899,1833,49.05%,127,739,866
"District Judge, 176th Judicial District",0596,1377,501,1878,3574,52.55%,824,953,1777
"District Judge, 176th Judicial District",0597,1204,609,1813,3587,50.54%,610,1110,1720
"District Judge, 176th Judicial District",0598,2389,731,3120,5253,59.39%,1035,1951,2986
"District Judge, 176th Judicial District",0599,1378,493,1871,3005,62.26%,637,1168,1805
"District Judge, 176th Judicial District",0600,1602,776,2378,4204,56.57%,775,1476,2251
"District Judge, 176th Judicial District",0601,2220,670,2890,4151,69.62%,2065,716,2781
"District Judge, 176th Judicial District",0602,754,234,988,1441,68.56%,652,291,943
"District Judge, 176th Judicial District",0603,2335,725,3060,4666,65.58%,1695,1239,2934
"District Judge, 176th Judicial District",0604,1816,375,2191,3189,68.70%,1792,297,2089
"District Judge, 176th Judicial District",0605,1711,599,2310,4217,54.78%,523,1668,2191
"District Judge, 176th Judicial District",0606,319,111,430,970,44.33%,8,412,420
"District Judge, 176th Judicial District",0607,163,51,214,712,30.06%,24,181,205
"District Judge, 176th Judicial District",0608,156,77,233,570,40.88%,73,147,220
"District Judge, 176th Judicial District",0609,2037,729,2766,4305,64.25%,1578,1056,2634
"District Judge, 176th Judicial District",0610,665,343,1008,2086,48.32%,404,539,943
"District Judge, 176th Judicial District",0611,980,229,1209,2527,47.84%,52,1129,1181
"District Judge, 176th Judicial District",0612,1927,431,2358,3388,69.60%,1747,498,2245
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0613,937,339,1276,2368,53.89%,205,1010,1215
"District Judge, 176th Judicial District",0614,1949,645,2594,4566,56.81%,736,1740,2476
"District Judge, 176th Judicial District",0615,1075,301,1376,2086,65.96%,709,605,1314
"District Judge, 176th Judicial District",0616,1809,611,2420,3516,68.83%,1552,737,2289
"District Judge, 176th Judicial District",0617,1704,650,2354,4179,56.33%,768,1488,2256
"District Judge, 176th Judicial District",0618,1698,545,2243,3801,59.01%,876,1282,2158
"District Judge, 176th Judicial District",0619,2792,663,3455,4916,70.28%,2511,832,3343
"District Judge, 176th Judicial District",0620,1747,333,2080,3318,62.69%,1058,918,1976
"District Judge, 176th Judicial District",0621,536,200,736,1272,57.86%,295,398,693
"District Judge, 176th Judicial District",0622,2129,591,2720,4562,59.62%,1421,1167,2588
"District Judge, 176th Judicial District",0623,1960,461,2421,3919,61.78%,1478,827,2305
"District Judge, 176th Judicial District",0624,297,59,356,456,78.07%,267,75,342
"District Judge, 176th Judicial District",0625,924,372,1296,1864,69.53%,710,516,1226
"District Judge, 176th Judicial District",0626,2280,784,3054,4816,63.62%,1598,1303,2901
"District Judge, 176th Judicial District",0627,935,649,1584,3235,48.96%,407,1100,1507
"District Judge, 176th Judicial District",0628,716,545,1261,2420,52.11%,426,753,1179
"District Judge, 176th Judicial District",0629,162,96,258,750,34.40%,33,215,248
"District Judge, 176th Judicial District",0630,2662,541,3203,4738,67.60%,321,2805,3126
"District Judge, 176th Judicial District",0631,1841,398,2239,3263,68.62%,1457,684,2141
"District Judge, 176th Judicial District",0632,4,1,5,241,2.07%,0,5,5
"District Judge, 176th Judicial District",0633,2285,601,2887,3912,73.80%,1942,824,2766
"District Judge, 176th Judicial District",0634,1435,499,1934,3259,59.34%,1067,787,1854
"District Judge, 176th Judicial District",0635,1645,520,2165,3512,61.65%,1570,494,2064
"District Judge, 176th Judicial District",0636,2303,922,3225,4569,70.58%,2756,343,3099
"District Judge, 176th Judicial District",0637,1095,423,1518,2591,58.59%,321,1070,1391
"District Judge, 176th Judicial District",0638,850,348,1198,2310,51.86%,99,1070,1169
"District Judge, 176th Judicial District",0639,1385,284,1670,2560,65.23%,1255,335,1590
"District Judge, 176th Judicial District",0640,1619,615,2234,3927,56.89%,1231,913,2144
"District Judge, 176th Judicial District",0641,1637,683,2320,3840,60.42%,1315,899,2214
"District Judge, 176th Judicial District",0642,1030,270,1300,1783,72.91%,995,250,1245
"District Judge, 176th Judicial District",0643,1948,593,2541,4189,60.66%,1165,1278,2443
"District Judge, 176th Judicial District",0644,2087,689,2776,4446,62.44%,1578,1079,2657
"District Judge, 176th Judicial District",0645,2145,769,2914,4517,64.51%,1171,1587,2758
"District Judge, 176th Judicial District",0646,925,399,1324,2422,54.67%,334,914,1248
