Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0328,425,286,711,1631,43.59%,219,450,669
"District Judge, 337th Judicial District",0329,589,260,849,1621,52.38%,259,546,805
"District Judge, 337th Judicial District",0330,863,326,1189,2146,55.41%,538,582,1120
"District Judge, 337th Judicial District",0331,884,234,1118,1612,69.35%,685,367,1052
"District Judge, 337th Judicial District",0332,1355,503,1858,2926,63.50%,197,1578,1775
"District Judge, 337th Judicial District",0333,1385,942,2327,3296,70.60%,1625,566,2191
"District Judge, 337th Judicial District",0334,246,104,350,786,44.53%,59,274,333
"District Judge, 337th Judicial District",0335,489,293,782,1679,46.58%,195,528,723
"District Judge, 337th Judicial District",0336,2489,689,3178,4771,66.61%,338,2740,3078
"District Judge, 337th Judicial District",0337,367,155,522,1108,47.11%,73,412,485
"District Judge, 337th Judicial District",0338,1626,632,2258,5001,45.15%,585,1550,2135
"District Judge, 337th Judicial District",0339,704,303,1007,1909,52.75%,199,739,938
"District Judge, 337th Judicial District",0340,2040,654,2694,4012,67.15%,1877,668,2545
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0341,380,278,658,1372,47.96%,162,461,623
"District Judge, 337th Judicial District",0342,311,225,536,1092,49.08%,118,388,506
"District Judge, 337th Judicial District",0343,722,370,1092,2099,52.02%,215,800,1015
"District Judge, 337th Judicial District",0344,381,207,588,1225,48.00%,26,531,557
"District Judge, 337th Judicial District",0345,575,349,924,1945,47.51%,188,674,862
"District Judge, 337th Judicial District",0346,1,0,1,1,100.00%,0,0,0
"District Judge, 337th Judicial District",0347,1461,618,2079,3614,57.53%,1207,784,1991
"District Judge, 337th Judicial District",0348,830,242,1072,1796,59.69%,712,311,1023
"District Judge, 337th Judicial District",0349,458,369,827,1372,60.28%,484,310,794
"District Judge, 337th Judicial District",0350,1674,582,2256,3269,69.01%,831,1231,2062
"District Judge, 337th Judicial District",0351,2855,570,3425,4799,71.37%,2575,697,3272
"District Judge, 337th Judicial District",0352,2023,538,2561,4278,59.86%,1753,705,2458
"District Judge, 337th Judicial District",0353,1715,659,2374,4156,57.12%,405,1877,2282
"District Judge, 337th Judicial District",0354,1569,429,1998,3520,56.76%,454,1433,1887
"District Judge, 337th Judicial District",0355,821,239,1060,1714,61.84%,115,907,1022
"District Judge, 337th Judicial District",0356,1542,582,2124,3126,67.95%,1178,821,1999
"District Judge, 337th Judicial District",0357,1882,557,2439,3685,66.19%,1726,584,2310
"District Judge, 337th Judicial District",0358,775,376,1151,2634,43.70%,134,970,1104
"District Judge, 337th Judicial District",0359,803,496,1299,3320,39.13%,140,1117,1257
"District Judge, 337th Judicial District",0360,1858,597,2455,3309,74.19%,1166,1100,2266
"District Judge, 337th Judicial District",0361,323,688,1011,1808,55.92%,156,747,903
"District Judge, 337th Judicial District",0362,2865,553,3418,5161,66.23%,2376,886,3262
"District Judge, 337th Judicial District",0363,1826,635,2461,4160,59.16%,991,1394,2385
"District Judge, 337th Judicial District",0364,1190,528,1718,2827,60.77%,778,830,1608
"District Judge, 337th Judicial District",0365,827,174,1001,1348,74.26%,119,849,968
"District Judge, 337th Judicial District",0366,988,524,1512,2887,52.37%,330,1112,1442
"District Judge, 337th Judicial District",0367,453,204,657,1256,52.31%,155,473,628
"District Judge, 337th Judicial District",0368,433,122,555,1024,54.20%,145,386,531
"District Judge, 337th Judicial District",0369,132,29,161,678,23.75%,59,88,147
"District Judge, 337th Judicial District",0370,2525,627,3152,4531,69.57%,2241,771,3012
"District Judge, 337th Judicial District",0371,210,78,288,537,53.63%,15,267,282
"District Judge, 337th Judicial District",0372,509,180,689,1274,54.08%,78,585,663
"District Judge, 337th Judicial District",0373,61,13,74,163,45.40%,1,70,71
"District Judge, 337th Judicial District",0374,176,165,341,720,47.36%,86,238,324
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0375,745,510,1255,2836,44.25%,427,748,1175
"District Judge, 337th Judicial District",0376,753,344,1097,2060,53.25%,406,625,1031
"District Judge, 337th Judicial District",0377,1381,643,2024,3137,64.52%,1509,410,1919
"District Judge, 337th Judicial District",0378,621,447,1068,1856,57.54%,645,373,1018
"District Judge, 337th Judicial District",0379,857,388,1245,2149,57.93%,119,1086,1205
"District Judge, 337th Judicial District",0380,2732,551,3283,4380,74.95%,1729,1416,3145
"District Judge, 337th Judicial District",0381,1185,432,1617,3141,51.48%,609,922,1531
"District Judge, 337th Judicial District",0382,429,206,635,1035,61.35%,387,221,608
"District Judge, 337th Judicial District",0383,722,458,1180,2373,49.73%,357,756,1113
"District Judge, 337th Judicial District",0384,1152,444,1596,2725,58.57%,354,1160,1514
"District Judge, 337th Judicial District",0385,1141,561,1702,2207,77.12%,1293,317,1610
"District Judge, 337th Judicial District",0386,1658,419,2077,3105,66.89%,1461,541,2002
"District Judge, 337th Judicial District",0387,1702,780,2482,4340,57.19%,1613,742,2355
"District Judge, 337th Judicial District",0388,2899,711,3510,5413,66.69%,1698,1767,3465
"District Judge, 337th Judicial District",0389,397,293,690,1359,50.77%,99,544,643
"District Judge, 337th Judicial District",0390,698,271,969,1482,65.38%,144,788,932
"District Judge, 337th Judicial District",0391,986,336,1322,1978,66.84%,784,471,1255
"District Judge, 337th Judicial District",0392,652,145,797,1426,55.89%,13,756,769
"District Judge, 337th Judicial District",0393,427,257,684,1274,53.69%,309,335,644
"District Judge, 337th Judicial District",0394,236,126,362,914,39.61%,120,221,341
"District Judge, 337th Judicial District",0395,1007,371,1378,1875,73.49%,923,373,1296
"District Judge, 337th Judicial District",0396,1035,204,1239,2072,59.80%,37,1159,1196
"District Judge, 337th Judicial District",0397,204,117,321,796,40.33%,113,186,299
"District Judge, 337th Judicial District",0398,1761,654,2415,4200,57.50%,1077,1218,2295
"District Judge, 337th Judicial District",0399,1291,546,1837,3340,55.00%,705,1057,1762
"District Judge, 337th Judicial District",0400,1457,372,1839,2661,69.11%,1192,568,1760
"District Judge, 337th Judicial District",0401,703,257,960,1971,48.71%,48,864,912
"District Judge, 337th Judicial District",0402,897,262,1159,1911,60.65%,75,1047,1122
"District Judge, 337th Judicial District",0403,959,387,1346,1719,78.30%,728,500,1228
"District Judge, 337th Judicial District",0404,1033,445,1478,2717,54.40%,713,706,1419
"District Judge, 337th Judicial District",0405,1910,457,2367,3067,77.18%,1764,531,2295
"District Judge, 337th Judicial District",0406,275,65,340,649,52.39%,9,319,328
"District Judge, 337th Judicial District",0407,1703,860,2563,3969,64.58%,1525,886,2411
"District Judge, 337th Judicial District",0408,520,313,833,1740,47.87%,257,522,779
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0409,501,280,781,1608,48.57%,238,494,732
"District Judge, 337th Judicial District",0410,381,96,477,934,51.07%,88,370,458
"District Judge, 337th Judicial District",0411,699,418,1117,2426,46.04%,285,762,1047
"District Judge, 337th Judicial District",0412,156,80,236,478,49.37%,12,215,227
"District Judge, 337th Judicial District",0413,1546,456,2002,3081,64.98%,727,1168,1895
"District Judge, 337th Judicial District",0414,1573,514,2087,3586,58.20%,1493,498,1991
"District Judge, 337th Judicial District",0415,1076,573,1649,2284,72.20%,1116,443,1559
"District Judge, 337th Judicial District",0416,1443,845,2288,4009,57.07%,1102,1055,2157
"District Judge, 337th Judicial District",0417,1104,397,1501,2589,57.98%,619,803,1422
"District Judge, 337th Judicial District",0418,1336,663,1999,3940,50.74%,642,1227,1869
"District Judge, 337th Judicial District",0419,1166,477,1643,2702,60.81%,935,630,1565
"District Judge, 337th Judicial District",0420,2687,731,3418,4946,69.11%,2744,530,3274
"District Judge, 337th Judicial District",0421,1240,273,1513,2023,74.79%,720,727,1447
"District Judge, 337th Judicial District",0422,1357,401,1768,3348,52.81%,68,1647,1715
"District Judge, 337th Judicial District",0423,316,288,604,1423,42.45%,124,446,570
"District Judge, 337th Judicial District",0424,548,158,706,1079,65.43%,369,295,664
"District Judge, 337th Judicial District",0425,257,139,396,878,45.10%,112,261,373
"District Judge, 337th Judicial District",0426,485,228,713,1266,56.32%,357,308,665
"District Judge, 337th Judicial District",0427,437,155,592,1120,52.86%,190,360,550
"District Judge, 337th Judicial District",0428,1588,865,2553,5151,49.56%,643,1770,2413
"District Judge, 337th Judicial District",0429,947,649,1596,3311,48.20%,329,1187,1516
"District Judge, 337th Judicial District",0430,524,291,815,1794,45.43%,128,628,756
"District Judge, 337th Judicial District",0431,1218,604,1822,3860,47.20%,388,1344,1732
"District Judge, 337th Judicial District",0432,456,249,705,1568,44.96%,213,439,652
"District Judge, 337th Judicial District",0433,163,88,251,561,44.74%,59,178,237
"District Judge, 337th Judicial District",0434,831,293,1124,1557,72.19%,637,399,1036
"District Judge, 337th Judicial District",0435,1951,567,2518,3363,74.87%,1585,771,2356
"District Judge, 337th Judicial District",0436,2008,678,2686,3809,70.52%,1487,1019,2506
"District Judge, 337th Judicial District",0437,1148,425,1573,2094,75.12%,1048,441,1489
"District Judge, 337th Judicial District",0438,2288,475,2763,3789,72.92%,1921,682,2603
"District Judge, 337th Judicial District",0439,1854,749,2603,3701,70.33%,1748,704,2452
"District Judge, 337th Judicial District",0440,1498,749,2247,2973,75.58%,1714,408,2122
"District Judge, 337th Judicial District",0441,824,408,1232,1695,72.68%,851,305,1156
"District Judge, 337th Judicial District",0442,2441,685,3126,4315,72.44%,2531,453,2984
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0443,415,83,498,642,77.57%,361,108,469
"District Judge, 337th Judicial District",0444,1620,679,2299,3625,63.42%,1239,907,2146
"District Judge, 337th Judicial District",0445,1036,382,1418,2134,66.45%,853,487,1340
"District Judge, 337th Judicial District",0446,89,45,134,309,43.37%,45,83,128
"District Judge, 337th Judicial District",0447,2411,464,2875,3727,77.14%,1858,867,2725
"District Judge, 337th Judicial District",0448,1763,529,2292,3155,72.65%,1292,816,2108
"District Judge, 337th Judicial District",0449,73,26,99,225,44.00%,11,86,97
"District Judge, 337th Judicial District",0450,1104,394,1498,2890,51.83%,394,1047,1441
"District Judge, 337th Judicial District",0451,1719,367,2086,2771,75.28%,1648,350,1998
"District Judge, 337th Judicial District",0452,1871,662,2533,3789,66.85%,1687,731,2418
"District Judge, 337th Judicial District",0453,661,417,1078,2039,52.87%,292,719,1011
"District Judge, 337th Judicial District",0454,1043,288,1331,2509,53.05%,28,1259,1287
"District Judge, 337th Judicial District",0455,669,173,842,1713,49.15%,37,770,807
"District Judge, 337th Judicial District",0456,1404,553,1957,3793,51.60%,1028,828,1856
"District Judge, 337th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0458,914,253,1167,2025,57.63%,77,1037,1114
"District Judge, 337th Judicial District",0459,2362,432,2794,3942,70.88%,2105,565,2670
"District Judge, 337th Judicial District",0460,1613,472,2085,3280,63.57%,520,1485,2005
"District Judge, 337th Judicial District",0461,2242,669,2911,4054,71.81%,1816,894,2710
"District Judge, 337th Judicial District",0462,1474,738,2212,3507,63.07%,750,1366,2116
"District Judge, 337th Judicial District",0463,1573,564,2237,3773,59.29%,859,1303,2162
"District Judge, 337th Judicial District",0464,967,582,1549,2343,66.11%,951,498,1449
"District Judge, 337th Judicial District",0465,1628,594,2222,3778,58.81%,1004,1115,2119
"District Judge, 337th Judicial District",0466,2274,509,2783,4327,64.32%,1402,1264,2666
"District Judge, 337th Judicial District",0467,501,225,726,1320,55.00%,153,531,684
"District Judge, 337th Judicial District",0468,1379,747,2125,4040,52.62%,520,1491,2011
"District Judge, 337th Judicial District",0469,1857,462,2329,3257,71.51%,1772,451,2223
"District Judge, 337th Judicial District",0470,555,232,787,1358,57.95%,561,191,752
"District Judge, 337th Judicial District",0471,1057,458,1515,2473,61.26%,1121,332,1453
"District Judge, 337th Judicial District",0472,463,339,802,1131,70.91%,374,367,741
"District Judge, 337th Judicial District",0473,944,390,1334,1787,74.65%,909,351,1260
"District Judge, 337th Judicial District",0474,1417,624,2041,3127,65.27%,1316,633,1949
"District Judge, 337th Judicial District",0475,791,261,1052,1936,54.34%,412,579,991
"District Judge, 337th Judicial District",0476,1077,405,1482,2458,60.29%,765,642,1407
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0477,2027,640,2667,4010,66.51%,1793,735,2528
"District Judge, 337th Judicial District",0478,2271,683,2954,4696,62.90%,1830,977,2807
"District Judge, 337th Judicial District",0479,1978,755,2733,3851,70.97%,1977,648,2625
"District Judge, 337th Judicial District",0480,1445,538,1983,2978,66.59%,1339,570,1909
"District Judge, 337th Judicial District",0481,1756,667,2423,3609,67.14%,1709,582,2291
"District Judge, 337th Judicial District",0482,2259,618,2877,4405,65.31%,1914,831,2745
"District Judge, 337th Judicial District",0483,2305,538,2843,4495,63.25%,1450,1239,2689
"District Judge, 337th Judicial District",0484,2020,700,2720,3981,68.32%,1702,899,2601
"District Judge, 337th Judicial District",0485,2118,567,2685,4051,66.28%,1876,701,2577
"District Judge, 337th Judicial District",0486,2310,721,3031,4195,72.25%,2287,604,2891
"District Judge, 337th Judicial District",0487,1405,527,1932,4142,46.64%,468,1292,1760
"District Judge, 337th Judicial District",0488,842,511,1353,2382,56.80%,375,910,1285
"District Judge, 337th Judicial District",0489,865,344,1209,1958,61.75%,332,817,1149
"District Judge, 337th Judicial District",0490,980,346,1326,2105,62.99%,412,834,1246
"District Judge, 337th Judicial District",0491,937,488,1425,2110,67.54%,752,587,1339
"District Judge, 337th Judicial District",0492,1217,396,1613,2552,63.21%,826,708,1534
"District Judge, 337th Judicial District",0493,1404,555,1959,3338,58.69%,710,1124,1834
"District Judge, 337th Judicial District",0494,1079,419,1498,2787,53.75%,193,1246,1439
"District Judge, 337th Judicial District",0495,1414,376,1790,2488,71.95%,1196,496,1692
"District Judge, 337th Judicial District",0496,687,549,1235,2325,53.16%,416,759,1175
"District Judge, 337th Judicial District",0497,91,e,281,1197,2148,55.73%,56,1097,1153
"District Judge, 337th Judicial District",0498,1069,423,1492,2527,59.04%,511,904,1415
"District Judge, 337th Judicial District",0499,1433,397,1830,2336,78.34%,1305,438,1743
"District Judge, 337th Judicial District",0500,1869,651,2520,3698,68.14%,1547,856,2403
"District Judge, 337th Judicial District",0501,1146,406,1552,2016,76.98%,659,776,1435
"District Judge, 337th Judicial District",0502,1355,293,1559,2595,63.93%,1249,328,1577
"District Judge, 337th Judicial District",0503,1397,306,1703,2236,76.16%,1250,366,1616
"District Judge, 337th Judicial District",0504,1270,482,1752,2318,75.58%,1116,532,1648
"District Judge, 337th Judicial District",0505,1750,735,2485,4076,60.97%,1084,1218,2302
"District Judge, 337th Judicial District",0506,1513,696,2209,3544,62.33%,329,1795,2124
"District Judge, 337th Judicial District",0507,599,319,918,2562,35.83%,204,612,816
"District Judge, 337th Judicial District",0508,1519,828,2347,4767,49.23%,654,1501,2155
"District Judge, 337th Judicial District",0509,2504,669,3173,5153,61.58%,1971,1065,3036
"District Judge, 337th Judicial District",0510,1701,666,2367,3822,61.93%,1017,1259,2276
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0511,2933,574,3507,4620,75.91%,2103,1272,3375
"District Judge, 337th Judicial District",0512,1668,871,2539,4559,55.69%,964,1458,2422
"District Judge, 337th Judicial District",0513,1754,413,2187,3003,72.16%,1542,526,2068
"District Judge, 337th Judicial District",0514,2288,613,2899,4378,66.22%,1969,794,2763
"District Judge, 337th Judicial District",0515,1836,468,2304,3182,72.41%,1794,405,2199
"District Judge, 337th Judicial District",0516,1316,363,1679,2799,59.99%,809,798,1607
"District Judge, 337th Judicial District",0517,1610,509,2119,3744,56.60%,911,1111,2022
"District Judge, 337th Judicial District",0518,1886,676,2562,4049,63.27%,1469,969,2438
"District Judge, 337th Judicial District",0519,1421,518,1939,3098,62.59%,1300,553,1853
"District Judge, 337th Judicial District",0520,1788,670,2456,5202,47.21%,389,1999,2388
"District Judge, 337th Judicial District",0521,1350,578,1928,3070,62.80%,906,946,1852
"District Judge, 337th Judicial District",0522,1508,464,1972,2815,70.05%,1447,461,1908
"District Judge, 337th Judicial District",0523,1978,537,2515,4027,62.45%,1534,836,2370
"District Judge, 337th Judicial District",0524,1392,637,2029,3598,56.39%,546,1385,1931
"District Judge, 337th Judicial District",0525,1440,574,2014,3260,61.78%,429,1478,1907
"District Judge, 337th Judicial District",0526,235,157,392,820,47.80%,89,276,365
"District Judge, 337th Judicial District",0527,156,38,194,580,33.45%,72,109,181
"District Judge, 337th Judicial District",0528,17,8,25,78,32.05%,3,21,24
"District Judge, 337th Judicial District",0529,2107,434,2541,3842,66.14%,2076,350,2426
"District Judge, 337th Judicial District",0530,375,212,587,1236,47.49%,121,417,538
"District Judge, 337th Judicial District",0531,1234,166,1400,2250,62.22%,1007,312,1319
"District Judge, 337th Judicial District",0532,478,140,618,1058,58.41%,409,195,604
"District Judge, 337th Judicial District",0533,352,169,521,1164,44.76%,255,233,488
"District Judge, 337th Judicial District",0534,1895,577,2472,3918,63.09%,1703,648,2351
"District Judge, 337th Judicial District",0535,132,62,194,413,46.97%,60,119,179
"District Judge, 337th Judicial District",0536,2104,1053,3157,5637,56.00%,1018,1949,2967
"District Judge, 337th Judicial District",0537,1958,464,2422,3174,76.31%,1693,619,2312
"District Judge, 337th Judicial District",0538,371,203,574,1332,43.09%,19,535,554
"District Judge, 337th Judicial District",0539,811,234,1045,1535,68.08%,556,430,986
"District Judge, 337th Judicial District",0540,997,349,1346,1759,76.52%,509,724,1233
"District Judge, 337th Judicial District",0541,2157,761,2918,5001,58.35%,474,2301,2775
"District Judge, 337th Judicial District",0542,1156,406,1562,2654,58.85%,103,1396,1499
"District Judge, 337th Judicial District",0543,553,321,874,1658,52.71%,226,600,826
"District Judge, 337th Judicial District",0544,84,54,138,313,44.09%,14,120,134
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0545,2015,468,2483,3949,62.88%,1089,1256,2345
"District Judge, 337th Judicial District",0546,1524,278,1802,2471,72.93%,1516,233,1749
"District Judge, 337th Judicial District",0547,1413,270,1683,2534,66.42%,1103,497,1600
"District Judge, 337th Judicial District",0548,882,395,1277,2339,54.60%,552,675,1227
"District Judge, 337th Judicial District",0549,1105,447,1552,2786,55.71%,194,1312,1506
"District Judge, 337th Judicial District",0550,1171,553,1724,3245,53.13%,725,941,1666
"District Judge, 337th Judicial District",0551,2588,793,3379,4428,76.31%,2511,708,3219
"District Judge, 337th Judicial District",0552,2090,784,2874,3762,76.40%,2276,474,2750
"District Judge, 337th Judicial District",0553,982,317,1279,2193,58.32%,485,748,1233
"District Judge, 337th Judicial District",0554,597,271,868,1774,48.93%,173,658,831
"District Judge, 337th Judicial District",0555,839,390,1029,2286,45.01%,181,802,983
"District Judge, 337th Judicial District",0556,759,435,1194,2491,47.93%,231,907,1138
"District Judge, 337th Judicial District",0557,925,460,1385,2955,46.87%,395,876,1271
"District Judge, 337th Judicial District",0558,1812,721,2533,4718,53.69%,753,1674,2427
"District Judge, 337th Judicial District",0559,1901,701,2602,4984,52.21%,584,1899,2483
"District Judge, 337th Judicial District",0560,290,247,537,1141,47.06%,88,411,499
"District Judge, 337th Judicial District",0561,1023,624,1647,3138,52.49%,948,608,1556
"District Judge, 337th Judicial District",0562,222,116,338,691,48.91%,42,268,310
"District Judge, 337th Judicial District",0563,2089,337,2406,3468,69.38%,1821,474,2295
"District Judge, 337th Judicial District",0564,1551,526,2077,3240,64.10%,587,1360,1947
"District Judge, 337th Judicial District",0565,338,148,484,1414,34.23%,83,377,460
"District Judge, 337th Judicial District",0566,1183,441,1624,3029,53.62%,412,1138,1550
"District Judge, 337th Judicial District",0567,985,390,1355,2851,47.53%,342,913,1255
"District Judge, 337th Judicial District",0568,1833,697,2530,3638,69.54%,1591,758,2349
"District Judge, 337th Judicial District",0569,2027,747,2774,4125,67.25%,1311,1276,2587
"District Judge, 337th Judicial District",0570,788,278,1044,1598,65.33%,373,591,964
"District Judge, 337th Judicial District",0571,521,314,835,1950,42.82%,249,538,787
"District Judge, 337th Judicial District",0572,1522,444,1966,3308,59.43%,853,1010,1863
"District Judge, 337th Judicial District",0573,489,215,704,1625,43.32%,16,674,690
"District Judge, 337th Judicial District",0574,112,74,186,391,47.57%,21,155,176
"District Judge, 337th Judicial District",0575,1905,535,2440,3557,68.60%,1325,998,2323
"District Judge, 337th Judicial District",0576,1107,375,1482,2830,52.37%,93,1341,1434
"District Judge, 337th Judicial District",0577,885,205,1090,1586,68.73%,642,385,1027
"District Judge, 337th Judicial District",0578,1028,405,1431,1862,76.85%,882,445,1327
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0579,287,181,468,1139,41.09%,83,359,442
"District Judge, 337th Judicial District",0580,366,108,474,985,48.12%,19,446,465
"District Judge, 337th Judicial District",0581,456,137,593,1033,57.41%,20,551,571
"District Judge, 337th Judicial District",0582,543,232,775,1607,48.23%,53,689,742
"District Judge, 337th Judicial District",0583,433,155,588,1286,45.72%,17,557,574
"District Judge, 337th Judicial District",0584,367,120,487,1062,45.86%,41,423,464
"District Judge, 337th Judicial District",0585,829,280,1109,2346,47.27%,61,1009,1070
"District Judge, 337th Judicial District",0586,1790,790,2580,4521,57.07%,1434,1026,2460
"District Judge, 337th Judicial District",0587,1204,431,1635,2870,56.97%,519,1046,1565
"District Judge, 337th Judicial District",0588,1940,606,2546,3780,67.35%,1664,780,2444
"District Judge, 337th Judicial District",0589,1539,545,2084,3780,55.13%,972,1019,1991
"District Judge, 337th Judicial District",0590,1230,400,1630,2176,74.91%,1249,295,1544
"District Judge, 337th Judicial District",0591,651,462,1113,2274,48.94%,271,774,1045
"District Judge, 337th Judicial District",0592,449,272,721,1446,49.86%,148,535,683
"District Judge, 337th Judicial District",0593,1581,755,2316,4179,55.42%,911,1269,2180
"District Judge, 337th Judicial District",0594,1243,316,1559,2578,60.47%,433,1082,1515
"District Judge, 337th Judicial District",0595,600,299,899,1833,49.05%,138,729,867
"District Judge, 337th Judicial District",0596,1377,501,1878,3574,52.55%,845,926,1771
"District Judge, 337th Judicial District",0597,1204,609,1813,3587,50.54%,610,1109,1719
"District Judge, 337th Judicial District",0598,2389,731,3120,5253,59.39%,1060,1919,2979
"District Judge, 337th Judicial District",0599,1378,493,1871,3005,62.26%,631,1179,1810
"District Judge, 337th Judicial District",0600,1602,776,2378,4204,56.57%,768,1487,2255
"District Judge, 337th Judicial District",0601,2220,670,2890,4151,69.62%,2051,723,2774
"District Judge, 337th Judicial District",0602,754,234,988,1441,68.56%,659,286,945
"District Judge, 337th Judicial District",0603,2335,725,3060,4666,65.58%,1724,1203,2927
"District Judge, 337th Judicial District",0604,1816,375,2191,3189,68.70%,1782,299,2081
"District Judge, 337th Judicial District",0605,1711,599,2310,4217,54.78%,528,1662,2190
"District Judge, 337th Judicial District",0606,319,111,430,970,44.33%,10,408,418
"District Judge, 337th Judicial District",0607,163,51,214,712,30.06%,24,181,205
"District Judge, 337th Judicial District",0608,156,77,233,570,40.88%,73,146,219
"District Judge, 337th Judicial District",0609,2037,729,2766,4305,64.25%,1579,1048,2627
"District Judge, 337th Judicial District",0610,665,343,1008,2086,48.32%,411,527,938
"District Judge, 337th Judicial District",0611,980,229,1209,2527,47.84%,47,1131,1178
"District Judge, 337th Judicial District",0612,1927,431,2358,3388,69.60%,1745,492,2237
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0613,937,339,1276,2368,53.89%,213,1009,1222
"District Judge, 337th Judicial District",0614,1949,645,2594,4566,56.81%,763,1709,2472
"District Judge, 337th Judicial District",0615,1075,301,1376,2086,65.96%,713,598,1311
"District Judge, 337th Judicial District",0616,1809,611,2420,3516,68.83%,1568,718,2286
"District Judge, 337th Judicial District",0617,1704,650,2354,4179,56.33%,777,1475,2252
"District Judge, 337th Judicial District",0618,1698,545,2243,3801,59.01%,897,1262,2159
"District Judge, 337th Judicial District",0619,2792,663,3455,4916,70.28%,2510,834,3344
"District Judge, 337th Judicial District",0620,1747,333,2080,3318,62.69%,1066,910,1976
"District Judge, 337th Judicial District",0621,536,200,736,1272,57.86%,303,386,689
"District Judge, 337th Judicial District",0622,2129,591,2720,4562,59.62%,1444,1141,2585
"District Judge, 337th Judicial District",0623,1960,461,2421,3919,61.78%,1480,823,2303
"District Judge, 337th Judicial District",0624,297,59,356,456,78.07%,269,72,341
"District Judge, 337th Judicial District",0625,924,372,1296,1864,69.53%,703,520,1223
"District Judge, 337th Judicial District",0626,2280,784,3054,4816,63.62%,1589,1307,2896
"District Judge, 337th Judicial District",0627,935,649,1584,3235,48.96%,412,1090,1502
"District Judge, 337th Judicial District",0628,716,545,1261,2420,52.11%,434,738,1172
"District Judge, 337th Judicial District",0629,162,96,258,750,34.40%,36,212,248
"District Judge, 337th Judicial District",0630,2662,541,3203,4738,67.60%,354,2752,3106
"District Judge, 337th Judicial District",0631,1841,398,2239,3263,68.62%,1457,676,2133
"District Judge, 337th Judicial District",0632,4,1,5,241,2.07%,0,5,5
"District Judge, 337th Judicial District",0633,2285,601,2887,3912,73.80%,1953,808,2761
"District Judge, 337th Judicial District",0634,1435,499,1934,3259,59.34%,1090,763,1853
"District Judge, 337th Judicial District",0635,1645,520,2165,3512,61.65%,1573,484,2057
"District Judge, 337th Judicial District",0636,2303,922,3225,4569,70.58%,2754,343,3097
"District Judge, 337th Judicial District",0637,1095,423,1518,2591,58.59%,323,1066,1389
"District Judge, 337th Judicial District",0638,850,348,1198,2310,51.86%,105,1061,1166
"District Judge, 337th Judicial District",0639,1385,284,1670,2560,65.23%,1265,328,1593
"District Judge, 337th Judicial District",0640,1619,615,2234,3927,56.89%,1236,903,2139
"District Judge, 337th Judicial District",0641,1637,683,2320,3840,60.42%,1340,872,2212
"District Judge, 337th Judicial District",0642,1030,270,1300,1783,72.91%,1001,243,1244
"District Judge, 337th Judicial District",0643,1948,593,2541,4189,60.66%,1183,1251,2434
"District Judge, 337th Judicial District",0644,2087,689,2776,4446,62.44%,1578,1077,2655
"District Judge, 337th Judicial District",0645,2145,769,2914,4517,64.51%,1186,1569,2755
"District Judge, 337th Judicial District",0646,925,399,1324,2422,54.67%,339,909,1248
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0647,1372,526,1898,4349,43.64%,406,1363,1769
"District Judge, 337th Judicial District",0648,1859,500,2359,3487,67.65%,1634,636,2270
"District Judge, 337th Judicial District",0649,1549,775,2324,4755,48.87%,572,1629,2201
"District Judge, 337th Judicial District",0650,2033,819,2852,4039,70.61%,1919,811,2730
