Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0328,425,286,711,1631,43.59%,201,469,670
"District Judge, 215th Judicial District",0329,589,260,849,1621,52.38%,234,565,799
"District Judge, 215th Judicial District",0330,863,326,1189,2146,55.41%,513,605,1118
"District Judge, 215th Judicial District",0331,884,234,1118,1612,69.35%,682,371,1053
"District Judge, 215th Judicial District",0332,1355,503,1858,2926,63.50%,179,1598,1777
"District Judge, 215th Judicial District",0333,1385,942,2327,3296,70.60%,1591,603,2194
"District Judge, 215th Judicial District",0334,246,104,350,786,44.53%,54,279,333
"District Judge, 215th Judicial District",0335,489,293,782,1679,46.58%,181,544,725
"District Judge, 215th Judicial District",0336,2489,689,3178,4771,66.61%,308,2774,3082
"District Judge, 215th Judicial District",0337,367,155,522,1108,47.11%,64,420,484
"District Judge, 215th Judicial District",0338,1626,632,2258,5001,45.15%,559,1582,2141
"District Judge, 215th Judicial District",0339,704,303,1007,1909,52.75%,175,760,935
"District Judge, 215th Judicial District",0340,2040,654,2694,4012,67.15%,1857,701,2558
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0341,380,278,658,1372,47.96%,143,477,620
"District Judge, 215th Judicial District",0342,311,225,536,1092,49.08%,111,393,504
"District Judge, 215th Judicial District",0343,722,370,1092,2099,52.02%,191,821,1012
"District Judge, 215th Judicial District",0344,381,207,588,1225,48.00%,18,538,556
"District Judge, 215th Judicial District",0345,575,349,924,1945,47.51%,172,693,865
"District Judge, 215th Judicial District",0346,1,0,1,1,100.00%,0,0,0
"District Judge, 215th Judicial District",0347,1461,618,2079,3614,57.53%,1152,837,1989
"District Judge, 215th Judicial District",0348,830,242,1072,1796,59.69%,702,318,1020
"District Judge, 215th Judicial District",0349,458,369,827,1372,60.28%,470,323,793
"District Judge, 215th Judicial District",0350,1674,582,2256,3269,69.01%,795,1270,2065
"District Judge, 215th Judicial District",0351,2855,570,3425,4799,71.37%,2531,742,3273
"District Judge, 215th Judicial District",0352,2023,538,2561,4278,59.86%,1733,721,2454
"District Judge, 215th Judicial District",0353,1715,659,2374,4156,57.12%,374,1914,2288
"District Judge, 215th Judicial District",0354,1569,429,1998,3520,56.76%,427,1461,1888
"District Judge, 215th Judicial District",0355,821,239,1060,1714,61.84%,102,923,1025
"District Judge, 215th Judicial District",0356,1542,582,2124,3126,67.95%,1147,852,1999
"District Judge, 215th Judicial District",0357,1882,557,2439,3685,66.19%,1695,620,2315
"District Judge, 215th Judicial District",0358,775,376,1151,2634,43.70%,114,988,1102
"District Judge, 215th Judicial District",0359,803,496,1299,3320,39.13%,122,1138,1260
"District Judge, 215th Judicial District",0360,1858,597,2455,3309,74.19%,1138,1131,2269
"District Judge, 215th Judicial District",0361,323,688,1011,1808,55.92%,142,759,901
"District Judge, 215th Judicial District",0362,2865,553,3418,5161,66.23%,2303,962,3265
"District Judge, 215th Judicial District",0363,1826,635,2461,4160,59.16%,937,1444,2381
"District Judge, 215th Judicial District",0364,1190,528,1718,2827,60.77%,747,862,1609
"District Judge, 215th Judicial District",0365,827,174,1001,1348,74.26%,111,863,974
"District Judge, 215th Judicial District",0366,988,524,1512,2887,52.37%,298,1148,1446
"District Judge, 215th Judicial District",0367,453,204,657,1256,52.31%,149,475,624
"District Judge, 215th Judicial District",0368,433,122,555,1024,54.20%,136,397,533
"District Judge, 215th Judicial District",0369,132,29,161,678,23.75%,57,91,148
"District Judge, 215th Judicial District",0370,2525,627,3152,4531,69.57%,2201,811,3012
"District Judge, 215th Judicial District",0371,210,78,288,537,53.63%,11,271,282
"District Judge, 215th Judicial District",0372,509,180,689,1274,54.08%,68,594,662
"District Judge, 215th Judicial District",0373,61,13,74,163,45.40%,1,69,70
"District Judge, 215th Judicial District",0374,176,165,341,720,47.36%,80,244,324
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0375,745,510,1255,2836,44.25%,415,762,1177
"District Judge, 215th Judicial District",0376,753,344,1097,2060,53.25%,383,648,1031
"District Judge, 215th Judicial District",0377,1381,643,2024,3137,64.52%,1476,440,1916
"District Judge, 215th Judicial District",0378,621,447,1068,1856,57.54%,627,391,1018
"District Judge, 215th Judicial District",0379,857,388,1245,2149,57.93%,101,1106,1207
"District Judge, 215th Judicial District",0380,2732,551,3283,4380,74.95%,1667,1479,3146
"District Judge, 215th Judicial District",0381,1185,432,1517,3141,51.48%,582,947,1529
"District Judge, 215th Judicial District",0382,429,206,635,1035,61.35%,373,234,607
"District Judge, 215th Judicial District",0383,722,458,1180,2373,49.73%,336,784,1120
"District Judge, 215th Judicial District",0384,1152,444,1596,2725,58.57%,345,1170,1515
"District Judge, 215th Judicial District",0385,1141,561,1702,2207,77.12%,1285,324,1609
"District Judge, 215th Judicial District",0386,1658,419,2077,3105,66.89%,1447,557,2004
"District Judge, 215th Judicial District",0387,1702,780,2482,4340,57.19%,1587,769,2356
"District Judge, 215th Judicial District",0388,2899,711,3510,5413,66.69%,1652,1812,3464
"District Judge, 215th Judicial District",0389,397,293,690,1359,50.77%,89,554,643
"District Judge, 215th Judicial District",0390,698,271,969,1482,65.38%,129,803,932
"District Judge, 215th Judicial District",0391,986,336,1322,1978,66.84%,757,496,1253
"District Judge, 215th Judicial District",0392,652,145,797,1426,55.89%,10,763,773
"District Judge, 215th Judicial District",0393,427,257,684,1274,53.69%,304,342,646
"District Judge, 215th Judicial District",0394,236,126,362,914,39.61%,115,227,342
"District Judge, 215th Judicial District",0395,1007,371,1378,1875,73.49%,898,396,1294
"District Judge, 215th Judicial District",0396,1035,204,1239,2072,59.80%,24,1176,1200
"District Judge, 215th Judicial District",0397,204,117,321,796,40.33%,106,192,298
"District Judge, 215th Judicial District",0398,1761,654,2415,4200,57.50%,1046,1251,2297
"District Judge, 215th Judicial District",0399,1291,546,1837,3340,55.00%,671,1094,1765
"District Judge, 215th Judicial District",0400,1457,372,1839,2661,69.11%,1166,595,1761
"District Judge, 215th Judicial District",0401,703,257,960,1971,48.71%,42,874,916
"District Judge, 215th Judicial District",0402,897,262,1159,1911,60.65%,66,1058,1124
"District Judge, 215th Judicial District",0403,959,387,1346,1719,78.30%,730,505,1235
"District Judge, 215th Judicial District",0404,1033,445,1478,2717,54.40%,681,738,1419
"District Judge, 215th Judicial District",0405,1910,457,2367,3067,77.18%,1726,567,2293
"District Judge, 215th Judicial District",0406,275,65,340,649,52.39%,5,323,328
"District Judge, 215th Judicial District",0407,1703,860,2563,3969,64.58%,1475,936,2411
"District Judge, 215th Judicial District",0408,520,313,833,1740,47.87%,239,536,775
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0409,501,280,781,1608,48.57%,227,506,733
"District Judge, 215th Judicial District",0410,381,96,477,934,51.07%,82,374,456
"District Judge, 215th Judicial District",0411,699,418,1117,2426,46.04%,263,783,1046
"District Judge, 215th Judicial District",0412,156,80,236,478,49.37%,9,218,227
"District Judge, 215th Judicial District",0413,1546,456,2002,3081,64.98%,692,1202,1894
"District Judge, 215th Judicial District",0414,1573,514,2087,3586,58.20%,1478,514,1992
"District Judge, 215th Judicial District",0415,1076,573,1649,2284,72.20%,1083,473,1556
"District Judge, 215th Judicial District",0416,1443,845,2288,4009,57.07%,1076,1080,2156
"District Judge, 215th Judicial District",0417,1104,397,1501,2589,57.98%,601,823,1424
"District Judge, 215th Judicial District",0418,1336,663,1999,3940,50.74%,603,1268,1871
"District Judge, 215th Judicial District",0419,1166,477,1643,2702,60.81%,908,663,1571
"District Judge, 215th Judicial District",0420,2687,731,3418,4946,69.11%,2689,587,3276
"District Judge, 215th Judicial District",0421,1240,273,1513,2023,74.79%,685,766,1451
"District Judge, 215th Judicial District",0422,1357,401,1758,3348,52.81%,54,1661,1715
"District Judge, 215th Judicial District",0423,31,e,288,604,1423,42.45%,118,462,580
"District Judge, 215th Judicial District",0424,548,158,706,1079,65.43%,362,307,669
"District Judge, 215th Judicial District",0425,257,139,396,878,45.10%,106,270,376
"District Judge, 215th Judicial District",0426,485,228,713,1266,56.32%,345,322,667
"District Judge, 215th Judicial District",0427,437,155,592,1120,52.86%,188,360,548
"District Judge, 215th Judicial District",0428,1588,855,2553,5151,49.56%,604,1809,2413
"District Judge, 215th Judicial District",0429,947,649,1596,3311,48.20%,315,1201,1516
"District Judge, 215th Judicial District",0430,524,291,815,1794,45.43%,129,628,757
"District Judge, 215th Judicial District",0431,1218,604,1822,3860,47.20%,363,1365,1728
"District Judge, 215th Judicial District",0432,456,249,705,1568,44.96%,192,460,652
"District Judge, 215th Judicial District",0433,163,88,251,561,44.74%,53,184,237
"District Judge, 215th Judicial District",0434,831,293,1124,1557,72.19%,623,415,1038
"District Judge, 215th Judicial District",0435,1951,567,2518,3363,74.87%,1537,820,2357
"District Judge, 215th Judicial District",0436,2008,678,2686,3809,70.52%,1450,1054,2504
"District Judge, 215th Judicial District",0437,1148,425,1573,2094,75.12%,1024,462,1486
"District Judge, 215th Judicial District",0438,2288,475,2763,3789,72.92%,1863,735,2598
"District Judge, 215th Judicial District",0439,1854,749,2603,3701,70.33%,1713,737,2450
"District Judge, 215th Judicial District",0440,1498,749,2247,2973,75.58%,1689,427,2116
"District Judge, 215th Judicial District",0441,824,408,1232,1695,72.68%,840,319,1159
"District Judge, 215th Judicial District",0442,2441,685,3126,4315,72.44%,2479,505,2984
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0443,415,83,498,642,77.57%,356,114,470
"District Judge, 215th Judicial District",0444,1620,679,2299,3625,63.42%,1187,959,2146
"District Judge, 215th Judicial District",0445,1036,382,1418,2134,66.45%,824,518,1342
"District Judge, 215th Judicial District",0446,89,45,134,309,43.37%,47,81,128
"District Judge, 215th Judicial District",0447,2411,464,2875,3727,77.14%,1829,901,2730
"District Judge, 215th Judicial District",0448,1763,529,2292,3155,72.65%,1245,862,2107
"District Judge, 215th Judicial District",0449,73,26,99,225,44.00%,10,87,97
"District Judge, 215th Judicial District",0450,1104,394,1498,2890,51.83%,371,1062,1433
"District Judge, 215th Judicial District",0451,1719,367,2086,2771,75.28%,1626,377,2003
"District Judge, 215th Judicial District",0452,1871,662,2533,3789,66.85%,1646,768,2414
"District Judge, 215th Judicial District",0453,661,417,1078,2039,52.87%,278,732,1010
"District Judge, 215th Judicial District",0454,1043,288,1331,2509,53.05%,22,1264,1286
"District Judge, 215th Judicial District",0455,669,173,842,1713,49.15%,29,780,809
"District Judge, 215th Judicial District",0456,1,1404,553,1957,3793,51.60%,995,861,1856
"District Judge, 215th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0458,914,253,1167,2025,57.63%,64,1053,1117
"District Judge, 215th Judicial District",0459,2362,432,2794,3942,70.88%,2062,608,2670
"District Judge, 215th Judicial District",0460,1613,472,2085,3280,63.57%,470,1540,2010
"District Judge, 215th Judicial District",0461,2242,669,2911,4054,71.81%,1767,950,2717
"District Judge, 215th Judicial District",0462,1474,738,2212,3507,63.07%,722,1396,2118
"District Judge, 215th Judicial District",0463,1673,564,2237,3773,59.29%,833,1332,2165
"District Judge, 215th Judicial District",0464,967,582,1549,2343,66.11%,925,522,1447
"District Judge, 215th Judicial District",0465,1628,594,2222,3778,58.81%,966,1158,2124
"District Judge, 215th Judicial District",0466,2274,509,2783,4327,64.32%,1360,1311,2671
"District Judge, 215th Judicial District",0467,501,225,726,1320,55.00%,142,545,687
"District Judge, 215th Judicial District",0468,1379,747,2126,4040,52.62%,492,1520,2012
"District Judge, 215th Judicial District",0469,1867,462,2329,3257,71.51%,1758,466,2224
"District Judge, 215th Judicial District",0470,555,232,787,1358,57.95%,553,198,751
"District Judge, 215th Judicial District",0471,1057,458,1515,2473,61.26%,1112,342,1454
"District Judge, 215th Judicial District",0472,463,339,802,1131,70.91%,357,386,743
"District Judge, 215th Judicial District",0473,944,390,1334,1787,74.65%,882,381,1263
"District Judge, 215th Judicial District",0474,1417,624,2041,3127,65.27%,1285,667,1952
"District Judge, 215th Judicial District",0475,791,261,1052,1936,54.34%,391,603,994
"District Judge, 215th Judicial District",0476,1077,405,1482,2458,60.29%,739,671,1410
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0477,2027,640,2667,4010,66.51%,1756,778,2534
"District Judge, 215th Judicial District",0478,2271,683,2954,4696,62.90%,1778,1032,2810
"District Judge, 215th Judicial District",0479,1978,755,2733,3851,70.97%,1938,691,2629
"District Judge, 215th Judicial District",0480,1445,538,1983,2978,66.59%,1289,617,1906
"District Judge, 215th Judicial District",0481,1756,667,2423,3609,67.14%,1685,603,2288
"District Judge, 215th Judicial District",0482,2259,618,2877,4405,65.31%,1863,882,2745
"District Judge, 215th Judicial District",0483,2305,538,2843,4495,63.25%,1401,1277,2678
"District Judge, 215th Judicial District",0484,2020,700,2720,3981,68.32%,1655,945,2600
"District Judge, 215th Judicial District",0485,2118,567,2685,4051,66.28%,1843,734,2577
"District Judge, 215th Judicial District",0486,2310,721,3031,4195,72.25%,2234,656,2890
"District Judge, 215th Judicial District",0487,1405,527,1932,4142,46.64%,452,1317,1769
"District Judge, 215th Judicial District",0488,842,511,1353,2382,56.80%,357,929,1286
"District Judge, 215th Judicial District",0489,865,344,1209,1958,61.75%,321,826,1147
"District Judge, 215th Judicial District",0490,980,346,1326,2105,62.99%,397,851,1248
"District Judge, 215th Judicial District",0491,937,488,1425,2110,67.54%,737,602,1339
"District Judge, 215th Judicial District",0492,1217,396,1613,2552,63.21%,802,735,1537
"District Judge, 215th Judicial District",0493,1404,555,1959,3338,58.69%,688,1152,1840
"District Judge, 215th Judicial District",0494,1079,419,1498,2787,53.75%,174,1268,1442
"District Judge, 215th Judicial District",0495,1414,376,1790,2488,71.95%,1162,527,1689
"District Judge, 215th Judicial District",0496,687,549,1235,2325,53.16%,398,778,1176
"District Judge, 215th Judicial District",0497,915,281,1197,2148,55.73%,49,1106,1155
"District Judge, 215th Judicial District",0498,1069,423,1492,2527,59.04%,489,924,1413
"District Judge, 215th Judicial District",0499,1433,397,1830,2336,78.34%,1270,475,1745
"District Judge, 215th Judicial District",0500,1869,651,2520,3698,68.14%,1516,891,2407
"District Judge, 215th Judicial District",0501,1146,406,1552,2016,76.98%,653,788,1441
"District Judge, 215th Judicial District",0502,1355,293,1559,2595,63.93%,1229,347,1576
"District Judge, 215th Judicial District",0503,1397,306,1703,2236,76.16%,1222,389,1611
"District Judge, 215th Judicial District",0504,1270,482,1752,2318,75.58%,1092,557,1649
"District Judge, 215th Judicial District",0505,1750,735,2485,4076,60.97%,1045,1246,2291
"District Judge, 215th Judicial District",0506,1513,696,2209,3544,62.33%,309,1820,2129
"District Judge, 215th Judicial District",0507,599,319,918,2562,35.83%,194,621,815
"District Judge, 215th Judicial District",0508,1519,828,2347,4767,49.23%,623,1537,2160
"District Judge, 215th Judicial District",0509,2504,669,3173,5153,61.58%,1917,1116,3033
"District Judge, 215th Judicial District",0510,1701,666,2367,3822,61.93%,956,1317,2273
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0511,2933,574,3507,4620,75.91%,2059,1314,3373
"District Judge, 215th Judicial District",0512,1668,871,2539,4559,55.69%,922,1499,2421
"District Judge, 215th Judicial District",0513,1754,413,2187,3003,72.16%,1508,558,2066
"District Judge, 215th Judicial District",0514,2288,613,2899,4378,66.22%,1918,844,2762
"District Judge, 215th Judicial District",0515,1836,468,2304,3182,72.41%,1771,431,2202
"District Judge, 215th Judicial District",0516,1316,363,1679,2799,59.99%,795,814,1609
"District Judge, 215th Judicial District",0517,1610,509,2119,3744,56.60%,866,1154,2020
"District Judge, 215th Judicial District",0518,1886,676,2562,4049,63.27%,1441,995,2436
"District Judge, 215th Judicial District",0519,1421,518,1939,3098,62.59%,1276,571,1847
"District Judge, 215th Judicial District",0520,1785,670,2456,5202,47.21%,356,2027,2383
"District Judge, 215th Judicial District",0521,1350,578,1928,3070,62.80%,862,988,1850
"District Judge, 215th Judicial District",0522,1508,464,1972,2815,70.05%,1424,487,1911
"District Judge, 215th Judicial District",0523,1978,537,2515,4027,62.45%,1493,882,2375
"District Judge, 215th Judicial District",0524,1392,637,2029,3598,56.39%,521,1414,1935
"District Judge, 215th Judicial District",0525,1440,574,2014,3260,61.78%,415,1494,1909
"District Judge, 215th Judicial District",0526,235,157,392,820,47.80%,79,283,362
"District Judge, 215th Judicial District",0527,156,38,194,580,33.45%,70,111,181
"District Judge, 215th Judicial District",0528,17,8,25,78,32.05%,2,22,24
"District Judge, 215th Judicial District",0529,2107,434,2541,3842,66.14%,2051,376,2427
"District Judge, 215th Judicial District",0530,375,212,587,1236,47.49%,98,440,538
"District Judge, 215th Judicial District",0531,1234,166,1400,2250,62.22%,997,322,1319
"District Judge, 215th Judicial District",0532,478,140,618,1058,58.41%,398,206,604
"District Judge, 215th Judicial District",0533,352,169,521,1164,44.76%,248,238,486
"District Judge, 215th Judicial District",0534,1895,577,2472,3918,63.09%,1659,696,2355
"District Judge, 215th Judicial District",0535,132,62,194,413,46.97%,54,125,179
"District Judge, 215th Judicial District",0536,2104,1053,3157,5637,56.00%,947,2020,2967
"District Judge, 215th Judicial District",0537,1958,464,2422,3174,76.31%,1675,638,2313
"District Judge, 215th Judicial District",0538,371,203,574,1332,43.09%,12,544,556
"District Judge, 215th Judicial District",0539,811,234,1045,1535,68.08%,546,441,987
"District Judge, 215th Judicial District",0540,997,349,1346,1759,76.52%,481,752,1233
"District Judge, 215th Judicial District",0541,2157,761,2918,5001,58.35%,441,2336,2777
"District Judge, 215th Judicial District",0542,1156,406,1562,2654,58.85%,93,1413,1506
"District Judge, 215th Judicial District",0543,553,321,874,1658,52.71%,193,633,826
"District Judge, 215th Judicial District",0544,84,54,138,313,44.09%,16,117,133
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0545,2015,468,2483,3949,62.88%,1038,1308,2346
"District Judge, 215th Judicial District",0546,1524,278,1802,2471,72.93%,1493,253,1746
"District Judge, 215th Judicial District",0547,1413,270,1683,2534,66.42%,1067,534,1601
"District Judge, 215th Judicial District",0548,882,395,1277,2339,54.60%,536,695,1231
"District Judge, 215th Judicial District",0549,1105,447,1552,2786,55.71%,176,1325,1501
"District Judge, 215th Judicial District",0550,1171,553,1724,3245,53.13%,700,963,1663
"District Judge, 215th Judicial District",0551,2588,793,3379,4428,76.31%,2481,739,3220
"District Judge, 215th Judicial District",0552,2090,784,2874,3762,76.40%,2254,502,2756
"District Judge, 215th Judicial District",0553,982,317,1279,2193,58.32%,455,776,1231
"District Judge, 215th Judicial District",0554,597,271,868,1774,48.93%,172,659,831
"District Judge, 215th Judicial District",0555,839,390,1029,2286,45.01%,172,812,984
"District Judge, 215th Judicial District",0556,759,435,1194,2491,47.93%,220,919,1139
"District Judge, 215th Judicial District",0557,925,460,1385,2955,46.87%,359,914,1273
"District Judge, 215th Judicial District",0558,1812,721,2533,4718,53.69%,722,1707,2429
"District Judge, 215th Judicial District",0559,1901,701,2602,4984,52.21%,554,1928,2482
"District Judge, 215th Judicial District",0560,290,247,537,1141,47.06%,83,417,500
"District Judge, 215th Judicial District",0561,1023,624,1647,3138,52.49%,920,636,1556
"District Judge, 215th Judicial District",0562,222,116,338,691,48.91%,40,270,310
"District Judge, 215th Judicial District",0563,2089,337,2406,3468,69.38%,1792,510,2302
"District Judge, 215th Judicial District",0564,1551,526,2077,3240,64.10%,525,1423,1948
"District Judge, 215th Judicial District",0565,338,148,484,1414,34.23%,76,384,460
"District Judge, 215th Judicial District",0566,1183,441,1624,3029,53.62%,374,1178,1552
"District Judge, 215th Judicial District",0567,985,390,1355,2851,47.53%,344,915,1259
"District Judge, 215th Judicial District",0568,1833,697,2530,3638,69.54%,1539,811,2350
"District Judge, 215th Judicial District",0569,2027,747,2774,4125,67.25%,1277,1306,2583
"District Judge, 215th Judicial District",0570,788,278,1044,1598,65.33%,361,605,966
"District Judge, 215th Judicial District",0571,521,314,835,1950,42.82%,228,559,787
"District Judge, 215th Judicial District",0572,1522,444,1966,3308,59.43%,826,1040,1866
"District Judge, 215th Judicial District",0573,489,215,704,1625,43.32%,18,672,690
"District Judge, 215th Judicial District",0574,112,74,186,391,47.57%,23,155,178
"District Judge, 215th Judicial District",0575,1905,535,2440,3557,68.60%,1291,1035,2326
"District Judge, 215th Judicial District",0576,1107,375,1482,2830,52.37%,78,1360,1438
"District Judge, 215th Judicial District",0577,885,205,1090,1586,68.73%,623,403,1026
"District Judge, 215th Judicial District",0578,1028,405,1431,1862,76.85%,867,455,1322
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0579,287,181,468,1139,41.09%,76,367,443
"District Judge, 215th Judicial District",0580,388,108,474,985,48.12%,18,450,468
"District Judge, 215th Judicial District",0581,458,137,593,1033,57.41%,14,560,574
"District Judge, 215th Judicial District",0582,543,232,775,1607,48.23%,46,698,744
"District Judge, 215th Judicial District",0583,433,155,588,1286,45.72%,12,561,573
"District Judge, 215th Judicial District",0584,387,120,487,1062,45.88%,32,437,489
"District Judge, 215th Judicial District",0585,829,280,1109,2346,47.27%,51,1024,1075
"District Judge, 215th Judicial District",0588,1790,790,2580,4521,57.07%,1389,1074,2463
"District Judge, 215th Judicial District",0587,1204,431,1635,2870,58.97%,503,1062,1565
"District Judge, 215th Judicial District",0588,1940,606,2546,3780,67.35%,1625,821,2446
"District Judge, 215th Judicial District",0589,1539,545,2084,3780,55.13%,943,1050,1993
"District Judge, 215th Judicial District",0590,1230,400,1630,2176,74.91%,1234,311,1545
"District Judge, 215th Judicial District",0591,851,462,1113,2274,48.94%,250,791,1041
"District Judge, 215th Judicial District",0592,449,272,721,1446,49.86%,142,543,685
"District Judge, 215th Judicial District",0593,1581,755,2316,4179,55.42%,861,1324,2185
"District Judge, 215th Judicial District",0594,1243,316,1559,2578,60.47%,400,1114,1514
"District Judge, 215th Judicial District",0595,800,299,899,1833,49.05%,119,748,867
"District Judge, 215th Judicial District",0596,1377,501,1878,3574,52.55%,812,963,1775
"District Judge, 215th Judicial District",0597,1204,609,1813,3587,50.54%,590,1131,1721
"District Judge, 215th Judicial District",0598,2389,731,3120,5253,59.39%,1003,1975,2978
"District Judge, 215th Judicial District",0599,1378,493,1871,3005,62.26%,619,1185,1804
"District Judge, 215th Judicial District",0600,1802,776,2378,4204,56.57%,748,1500,2248
"District Judge, 215th Judicial District",0601,2220,670,2890,4151,69.62%,2028,751,2779
"District Judge, 215th Judicial District",0602,754,234,988,1441,68.56%,644,301,945
"District Judge, 215th Judicial District",0603,2335,725,3060,4666,65.58%,1654,1278,2932
"District Judge, 215th Judicial District",0604,1818,375,2191,3189,68.70%,1773,314,2087
"District Judge, 215th Judicial District",0605,1711,599,2310,4217,54.78%,496,1692,2188
"District Judge, 215th Judicial District",0606,319,111,430,970,44.33%,6,414,420
"District Judge, 215th Judicial District",0607,183,51,214,712,30.06%,21,185,206
"District Judge, 215th Judicial District",0608,158,77,233,570,40.88%,71,149,220
"District Judge, 215th Judicial District",0609,2037,729,2766,4305,64.25%,1537,1094,2631
"District Judge, 215th Judicial District",0610,885,343,1008,2086,48.32%,398,543,941
"District Judge, 215th Judicial District",0611,980,229,1209,2527,47.84%,43,1139,1182
"District Judge, 215th Judicial District",0612,1927,431,2358,3388,69.60%,1716,526,2242
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0613,937,339,1276,2368,53.89%,203,1015,1218
"District Judge, 215th Judicial District",0614,1949,645,2594,4566,56.81%,728,1743,2471
"District Judge, 215th Judicial District",0615,1075,301,1376,2086,65.96%,690,621,1311
"District Judge, 215th Judicial District",0616,1809,611,2420,3516,68.83%,1530,760,2290
"District Judge, 215th Judicial District",0617,1704,650,2354,4179,56.33%,738,1518,2256
"District Judge, 215th Judicial District",0618,1698,545,2243,3801,59.01%,861,1300,2161
"District Judge, 215th Judicial District",0619,2792,663,3455,4916,70.28%,2454,888,3342
"District Judge, 215th Judicial District",0620,1747,333,2080,3318,62.69%,1028,947,1975
"District Judge, 215th Judicial District",0621,536,200,736,1272,57.86%,293,402,695
"District Judge, 215th Judicial District",0622,2129,591,2720,4562,59.62%,1393,1194,2587
"District Judge, 215th Judicial District",0623,1960,461,2421,3919,61.78%,1465,841,2306
"District Judge, 215th Judicial District",0624,297,59,356,456,78.07%,264,78,342
"District Judge, 215th Judicial District",0625,924,372,1296,1864,69.53%,679,546,1225
"District Judge, 215th Judicial District",0626,2280,784,3064,4816,63.62%,1542,1357,2899
"District Judge, 215th Judicial District",0627,935,649,1584,3235,48.96%,391,1112,1503
"District Judge, 215th Judicial District",0628,716,545,1261,2420,52.11%,411,767,1178
"District Judge, 215th Judicial District",0629,162,96,258,750,34.40%,28,221,249
"District Judge, 215th Judicial District",0630,2662,541,3203,4738,67.60%,291,2817,3108
"District Judge, 215th Judicial District",0631,1841,398,2239,3263,68.62%,1431,702,2133
"District Judge, 215th Judicial District",0632,4,1,5,241,2.07%,0,5,5
"District Judge, 215th Judicial District",0633,2285,601,2887,3912,73.80%,1904,858,2762
"District Judge, 215th Judicial District",0634,1435,499,1934,3259,59.34%,1052,801,1853
"District Judge, 215th Judicial District",0635,1645,520,2165,3512,61.65%,1549,513,2062
"District Judge, 215th Judicial District",0636,2303,922,3225,4569,70.58%,2744,358,3102
"District Judge, 215th Judicial District",0637,1095,423,1518,2591,58.59%,308,1082,1390
"District Judge, 215th Judicial District",0638,850,348,1198,2310,51.86%,95,1074,1169
"District Judge, 215th Judicial District",0639,1385,284,1670,2560,65.23%,1247,346,1593
"District Judge, 215th Judicial District",0640,1619,615,2234,3927,56.89%,1207,933,2140
"District Judge, 215th Judicial District",0641,1637,683,2320,3840,60.42%,1309,907,2216
"District Judge, 215th Judicial District",0642,1030,270,1300,1783,72.91%,980,264,1244
"District Judge, 215th Judicial District",0643,1948,593,2541,4189,60.66%,1135,1302,2437
"District Judge, 215th Judicial District",0644,2087,689,2776,4446,62.44%,1552,1104,2656
"District Judge, 215th Judicial District",0645,2145,769,2914,4517,64.51%,1147,1603,2750
"District Judge, 215th Judicial District",0646,925,399,1324,2422,54.67%,312,939,1251
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0647,1372,526,1898,4349,43.64%,396,1376,1772
"District Judge, 215th Judicial District",0648,1859,500,2359,3487,67.65%,1596,675,2271
"District Judge, 215th Judicial District",0649,1549,775,2324,4755,48.87%,540,1663,2203
"District Judge, 215th Judicial District",0650,2033,819,2852,4039,70.61%,1861,870,2731
