Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0281,1287,590,1877,2507,74.87%,870,844,1714
"Justice, 14th Court of Appeals District, Place 2",0282,774,604,1378,2144,64.27%,758,556,1314
"Justice, 14th Court of Appeals District, Place 2",0283,2352,1143,3495,6365,54.91%,475,2895,3370
"Justice, 14th Court of Appeals District, Place 2",0284,1585,574,2159,4079,52.93%,696,1356,2052
"Justice, 14th Court of Appeals District, Place 2",0285,1078,431,1509,2680,56.31%,114,1342,1456
"Justice, 14th Court of Appeals District, Place 2",0286,1712,545,2257,3757,60.07%,174,2010,2184
"Justice, 14th Court of Appeals District, Place 2",0287,851,408,1259,1658,75.93%,595,596,1191
"Justice, 14th Court of Appeals District, Place 2",0288,883,314,1197,2208,54.21%,24,1146,1170
"Justice, 14th Court of Appeals District, Place 2",0289,481,352,833,1584,52.59%,290,486,776
"Justice, 14th Court of Appeals District, Place 2",0290,705,332,1037,1623,63.89%,737,270,1007
"Justice, 14th Court of Appeals District, Place 2",0291,504,233,837,1218,68.72%,353,433,786
"Justice, 14th Court of Appeals District, Place 2",0292,549,178,727,1379,52.72%,76,623,699
"Justice, 14th Court of Appeals District, Place 2",0293,778,475,1253,1811,69.19%,512,656,1168
"Justice, 14th Court of Appeals District, Place 2",0294,852,198,1050,2054,51.12%,12,1020,1032
"Justice, 14th Court of Appeals District, Place 2",0295,270,111,381,894,42.62%,12,359,371
"Justice, 14th Court of Appeals District, Place 2",0296,701,385,1086,1705,63.70%,533,477,1010
"Justice, 14th Court of Appeals District, Place 2",0297,730,341,1071,2055,52.12%,373,646,1019
"Justice, 14th Court of Appeals District, Place 2",0298,1095,387,1482,2236,66.28%,717,700,1417
"Justice, 14th Court of Appeals District, Place 2",0299,499,236,735,1506,48.80%,223,463,686
"Justice, 14th Court of Appeals District, Place 2",0300,3385,728,4113,5480,75.05%,3031,925,3956
"Justice, 14th Court of Appeals District, Place 2",0301,737,392,1129,2337,48.31%,374,693,1067
"Justice, 14th Court of Appeals District, Place 2",0302,1199,591,1790,3277,54.62%,870,844,1714
"Justice, 14th Court of Appeals District, Place 2",0303,1896,692,2588,3375,76.68%,1963,515,2478
"Justice, 14th Court of Appeals District, Place 2",0304,1190,474,1664,2326,71.54%,918,634,1552
"Justice, 14th Court of Appeals District, Place 2",0305,2154,645,2799,4838,57.85%,870,1809,2679
"Justice, 14th Court of Appeals District, Place 2",0306,1095,299,1395,1896,73.58%,962,350,1312
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0307,1456,801,2257,3270,69.02%,1442,681,2123
"Justice, 14th Court of Appeals District, Place 2",0308,526,225,751,1457,51.54%,181,524,705
"Justice, 14th Court of Appeals District, Place 2",0309,2160,591,2751,3495,78.71%,2084,548,2632
"Justice, 14th Court of Appeals District, Place 2",0310,709,326,1035,1464,70.70%,608,358,966
"Justice, 14th Court of Appeals District, Place 2",0311,932,643,1575,3222,48.88%,697,760,1457
"Justice, 14th Court of Appeals District, Place 2",0312,1709,552,2261,3724,60.71%,1158,987,2145
"Justice, 14th Court of Appeals District, Place 2",0313,23,8,31,61,50.82%,17,6,23
"Justice, 14th Court of Appeals District, Place 2",0314,2998,817,3815,5606,68.05%,2115,1566,3681
"Justice, 14th Court of Appeals District, Place 2",0315,802,353,1155,1636,70.60%,619,462,1081
"Justice, 14th Court of Appeals District, Place 2",0316,741,340,1081,1513,71.45%,569,437,1006
"Justice, 14th Court of Appeals District, Place 2",0317,593,252,845,1661,50.87%,214,587,801
"Justice, 14th Court of Appeals District, Place 2",0318,1728,529,2257,3776,59.77%,118,2065,2183
"Justice, 14th Court of Appeals District, Place 2",0319,995,271,1266,2199,57.57%,69,1162,1231
"Justice, 14th Court of Appeals District, Place 2",0320,554,238,792,1570,50.45%,270,477,747
"Justice, 14th Court of Appeals District, Place 2",0321,867,363,1230,2483,49.54%,320,819,1139
"Justice, 14th Court of Appeals District, Place 2",0322,426,124,550,1210,45.45%,146,386,532
"Justice, 14th Court of Appeals District, Place 2",0323,700,296,996,1793,55.55%,368,580,948
"Justice, 14th Court of Appeals District, Place 2",0324,1445,560,2005,2607,76.91%,1218,669,1887
"Justice, 14th Court of Appeals District, Place 2",0325,802,257,1059,2176,48.67%,179,817,996
"Justice, 14th Court of Appeals District, Place 2",0326,271,129,400,736,54.35%,140,229,369
"Justice, 14th Court of Appeals District, Place 2",0327,739,141,880,1758,50.06%,25,825,850
"Justice, 14th Court of Appeals District, Place 2",0328,425,286,711,1631,43.59%,196,470,666
"Justice, 14th Court of Appeals District, Place 2",0329,590,260,850,1621,52.44%,240,566,806
"Justice, 14th Court of Appeals District, Place 2",0330,864,326,1190,2146,55.45%,517,604,1121
"Justice, 14th Court of Appeals District, Place 2",0331,885,234,1119,1612,69.42%,686,376,1062
"Justice, 14th Court of Appeals District, Place 2",0332,1358,503,1861,2926,63.60%,178,1611,1789
"Justice, 14th Court of Appeals District, Place 2",0333,1387,942,2329,3296,70.66%,1610,605,2215
"Justice, 14th Court of Appeals District, Place 2",0334,246,104,350,786,44.53%,56,278,334
"Justice, 14th Court of Appeals District, Place 2",0335,489,293,782,1679,46.58%,187,540,727
"Justice, 14th Court of Appeals District, Place 2",0336,2490,689,3179,4771,66.63%,307,2785,3092
"Justice, 14th Court of Appeals District, Place 2",0337,369,155,524,1108,47.29%,66,424,490
"Justice, 14th Court of Appeals District, Place 2",0338,1627,632,2259,5001,45.17%,565,1582,2147
"Justice, 14th Court of Appeals District, Place 2",0339,704,303,1007,1909,52.75%,186,757,943
"Justice, 14th Court of Appeals District, Place 2",0340,2041,654,2695,4012,67.17%,1867,700,2567
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0341,380,278,658,1372,47.96%,149,467,616
"Justice, 14th Court of Appeals District, Place 2",0342,311,225,536,1092,49.08%,112,395,507
"Justice, 14th Court of Appeals District, Place 2",0343,722,370,1092,2099,52.02%,198,817,1015
"Justice, 14th Court of Appeals District, Place 2",0344,381,207,588,1225,48.00%,20,539,559
"Justice, 14th Court of Appeals District, Place 2",0345,576,349,925,1945,47.56%,176,692,868
"Justice, 14th Court of Appeals District, Place 2",0346,1,0,1,1,100.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0347,1462,618,2080,3614,57.55%,1160,835,1995
"Justice, 14th Court of Appeals District, Place 2",0348,831,242,1073,1796,59.74%,705,320,1025
"Justice, 14th Court of Appeals District, Place 2",0349,459,369,828,1372,60.35%,478,322,800
"Justice, 14th Court of Appeals District, Place 2",0350,1678,582,2260,3269,69.13%,791,1302,2093
"Justice, 14th Court of Appeals District, Place 2",0351,2856,570,3426,4799,71.39%,2542,747,3289
"Justice, 14th Court of Appeals District, Place 2",0352,2024,538,2562,4278,59.89%,1735,729,2464
"Justice, 14th Court of Appeals District, Place 2",0353,1715,659,2374,4156,57.12%,384,1898,2282
"Justice, 14th Court of Appeals District, Place 2",0354,1569,429,1998,3520,56.76%,435,1468,1903
"Justice, 14th Court of Appeals District, Place 2",0355,821,239,1060,1714,61.84%,103,927,1030
"Justice, 14th Court of Appeals District, Place 2",0356,1543,582,2125,3126,67.98%,1154,859,2013
"Justice, 14th Court of Appeals District, Place 2",0357,1886,557,2443,3685,66.30%,1732,608,2340
"Justice, 14th Court of Appeals District, Place 2",0358,775,376,1151,2634,43.70%,122,991,1113
"Justice, 14th Court of Appeals District, Place 2",0359,804,496,1300,3320,39.16%,125,1136,1261
"Justice, 14th Court of Appeals District, Place 2",0360,1859,597,2456,3309,74.22%,1149,1141,2290
"Justice, 14th Court of Appeals District, Place 2",0361,323,688,1011,1808,55.92%,142,772,914
"Justice, 14th Court of Appeals District, Place 2",0362,2865,553,3418,5161,66.23%,2340,943,3283
"Justice, 14th Court of Appeals District, Place 2",0363,1826,635,2461,4160,59.16%,945,1439,2384
"Justice, 14th Court of Appeals District, Place 2",0364,1190,528,1718,2827,60.77%,755,859,1614
"Justice, 14th Court of Appeals District, Place 2",0365,827,174,1001,1348,74.26%,111,867,978
"Justice, 14th Court of Appeals District, Place 2",0366,988,524,1512,2887,52.37%,310,1141,1451
"Justice, 14th Court of Appeals District, Place 2",0367,453,204,657,1256,52.31%,148,473,621
"Justice, 14th Court of Appeals District, Place 2",0368,433,122,555,1024,54.20%,138,397,535
"Justice, 14th Court of Appeals District, Place 2",0369,135,29,164,678,24.19%,61,89,150
"Justice, 14th Court of Appeals District, Place 2",0370,2525,627,3152,4531,69.57%,2215,814,3029
"Justice, 14th Court of Appeals District, Place 2",0371,210,78,288,537,53.63%,11,271,282
"Justice, 14th Court of Appeals District, Place 2",0372,510,180,690,1274,54.16%,73,597,670
"Justice, 14th Court of Appeals District, Place 2",0373,61,13,74,163,45.40%,0,71,71
"Justice, 14th Court of Appeals District, Place 2",0374,176,165,341,720,47.36%,77,249,326
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0375,745,510,1255,2836,44.25%,408,775,1183
"Justice, 14th Court of Appeals District, Place 2",0376,753,344,1097,2060,53.25%,386,648,1034
"Justice, 14th Court of Appeals District, Place 2",0377,1381,643,2024,3137,64.52%,1491,440,1931
"Justice, 14th Court of Appeals District, Place 2",0378,621,447,1068,1856,57.54%,634,389,1023
"Justice, 14th Court of Appeals District, Place 2",0379,857,388,1245,2149,57.93%,105,1102,1207
"Justice, 14th Court of Appeals District, Place 2",0380,2734,551,3285,4380,75.00%,1676,1487,3163
"Justice, 14th Court of Appeals District, Place 2",0381,1185,432,1617,3141,51.48%,591,948,1539
"Justice, 14th Court of Appeals District, Place 2",0382,429,206,635,1035,61.35%,378,230,608
"Justice, 14th Court of Appeals District, Place 2",0383,722,458,1180,2373,49.73%,350,775,1125
"Justice, 14th Court of Appeals District, Place 2",0384,1153,444,1597,2725,58.61%,343,1183,1526
"Justice, 14th Court of Appeals District, Place 2",0385,1141,561,1702,2207,77.12%,1293,327,1620
"Justice, 14th Court of Appeals District, Place 2",0386,1658,419,2077,3105,66.89%,1453,555,2008
"Justice, 14th Court of Appeals District, Place 2",0387,1704,780,2484,4340,57.24%,1606,771,2377
"Justice, 14th Court of Appeals District, Place 2",0388,2899,711,3510,5413,66.69%,1676,1803,3479
"Justice, 14th Court of Appeals District, Place 2",0389,397,293,690,1359,50.77%,96,556,652
"Justice, 14th Court of Appeals District, Place 2",0390,701,271,972,1482,65.59%,127,814,941
"Justice, 14th Court of Appeals District, Place 2",0391,990,336,1326,1978,67.04%,760,509,1269
"Justice, 14th Court of Appeals District, Place 2",0392,653,145,798,1426,55.96%,10,764,774
"Justice, 14th Court of Appeals District, Place 2",0393,427,257,684,1274,53.69%,301,347,648
"Justice, 14th Court of Appeals District, Place 2",0394,236,126,362,914,39.61%,115,229,344
"Justice, 14th Court of Appeals District, Place 2",0395,1007,371,1378,1875,73.49%,904,404,1308
"Justice, 14th Court of Appeals District, Place 2",0396,1035,204,1239,2072,59.80%,28,1178,1206
"Justice, 14th Court of Appeals District, Place 2",0397,204,117,321,796,40.33%,109,190,299
"Justice, 14th Court of Appeals District, Place 2",0398,1761,654,2415,4200,57.50%,1042,1259,2301
"Justice, 14th Court of Appeals District, Place 2",0399,1293,546,1839,3340,55.06%,675,1099,1774
"Justice, 14th Court of Appeals District, Place 2",0400,1457,372,1839,2661,69.11%,1171,599,1770
"Justice, 14th Court of Appeals District, Place 2",0401,703,257,960,1971,48.71%,44,869,913
"Justice, 14th Court of Appeals District, Place 2",0402,898,262,1160,1911,60.70%,71,1054,1125
"Justice, 14th Court of Appeals District, Place 2",0403,959,387,1346,1719,78.30%,711,531,1242
"Justice, 14th Court of Appeals District, Place 2",0404,1034,445,1479,2717,54.44%,677,747,1424
"Justice, 14th Court of Appeals District, Place 2",0405,1910,457,2367,3067,77.18%,1749,555,2304
"Justice, 14th Court of Appeals District, Place 2",0406,275,65,340,649,52.39%,10,318,328
"Justice, 14th Court of Appeals District, Place 2",0407,1703,860,2563,3969,64.58%,1485,934,2419
"Justice, 14th Court of Appeals District, Place 2",0408,521,313,834,1740,47.93%,242,542,784
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0409,501,280,781,1608,48.57%,225,510,735
"Justice, 14th Court of Appeals District, Place 2",0410,381,96,477,934,51.07%,80,378,458
"Justice, 14th Court of Appeals District, Place 2",0411,699,418,1117,2426,46.04%,265,785,1050
"Justice, 14th Court of Appeals District, Place 2",0412,156,80,236,478,49.37%,9,220,229
"Justice, 14th Court of Appeals District, Place 2",0413,1547,456,2003,3081,65.01%,708,1193,1901
"Justice, 14th Court of Appeals District, Place 2",0414,1576,514,2090,3586,58.28%,1480,528,2008
"Justice, 14th Court of Appeals District, Place 2",0415,1076,573,1649,2284,72.20%,1086,487,1573
"Justice, 14th Court of Appeals District, Place 2",0416,1444,845,2289,4009,57.10%,1083,1090,2173
"Justice, 14th Court of Appeals District, Place 2",0417,1104,397,1501,2589,57.98%,600,834,1434
"Justice, 14th Court of Appeals District, Place 2",0418,1336,663,1999,3940,50.74%,623,1257,1880
"Justice, 14th Court of Appeals District, Place 2",0419,1166,477,1643,2702,60.81%,918,653,1571
"Justice, 14th Court of Appeals District, Place 2",0420,2688,731,3419,4946,69.13%,2710,584,3294
"Justice, 14th Court of Appeals District, Place 2",0421,1241,273,1514,2023,74.84%,679,781,1460
"Justice, 14th Court of Appeals District, Place 2",0422,1357,401,1768,3348,52.81%,59,1658,1717
"Justice, 14th Court of Appeals District, Place 2",0423,316,288,604,1423,42.45%,117,460,577
"Justice, 14th Court of Appeals District, Place 2",0424,548,158,706,1079,65.43%,372,304,676
"Justice, 14th Court of Appeals District, Place 2",0425,257,139,396,878,45.10%,111,267,378
"Justice, 14th Court of Appeals District, Place 2",0426,486,228,714,1266,56.40%,353,321,674
"Justice, 14th Court of Appeals District, Place 2",0427,437,155,592,1120,52.86%,189,361,550
"Justice, 14th Court of Appeals District, Place 2",0428,1588,865,2553,5151,49.56%,610,1799,2409
"Justice, 14th Court of Appeals District, Place 2",0429,948,649,1597,3311,48.23%,320,1200,1520
"Justice, 14th Court of Appeals District, Place 2",0430,525,291,816,1794,45.48%,129,633,762
"Justice, 14th Court of Appeals District, Place 2",0431,1219,604,1823,3860,47.23%,364,1370,1734
"Justice, 14th Court of Appeals District, Place 2",0432,457,249,706,1568,45.03%,192,466,658
"Justice, 14th Court of Appeals District, Place 2",0433,163,88,251,561,44.74%,52,182,234
"Justice, 14th Court of Appeals District, Place 2",0434,832,293,1125,1557,72.25%,635,415,1050
"Justice, 14th Court of Appeals District, Place 2",0435,1952,567,2519,3363,74.90%,1556,816,2372
"Justice, 14th Court of Appeals District, Place 2",0436,2011,678,2689,3809,70.60%,1443,1087,2530
"Justice, 14th Court of Appeals District, Place 2",0437,1148,425,1573,2094,75.12%,1034,466,1500
"Justice, 14th Court of Appeals District, Place 2",0438,2289,475,2764,3789,72.95%,1863,748,2611
"Justice, 14th Court of Appeals District, Place 2",0439,1854,749,2603,3701,70.33%,1724,744,2468
"Justice, 14th Court of Appeals District, Place 2",0440,1498,749,2247,2973,75.58%,1704,437,2141
"Justice, 14th Court of Appeals District, Place 2",0441,824,408,1232,1695,72.68%,833,332,1165
"Justice, 14th Court of Appeals District, Place 2",0442,2441,685,3126,4315,72.44%,2484,502,2986
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0443,415,83,498,642,77.57%,361,113,474
"Justice, 14th Court of Appeals District, Place 2",0444,1521,679,2300,3625,63.45%,1197,951,2148
"Justice, 14th Court of Appeals District, Place 2",0445,1035,382,1418,2134,66.45%,827,525,1352
"Justice, 14th Court of Appeals District, Place 2",0446,59,45,134,309,43.37%,47,81,128
"Justice, 14th Court of Appeals District, Place 2",0447,2413,464,2877,3727,77.19%,1843,912,2755
"Justice, 14th Court of Appeals District, Place 2",0448,1753,529,2292,3155,72.65%,1233,889,2122
"Justice, 14th Court of Appeals District, Place 2",0449,73,26,99,225,44.00%,10,87,97
"Justice, 14th Court of Appeals District, Place 2",0450,1105,394,1499,2890,51.87%,372,1072,1444
"Justice, 14th Court of Appeals District, Place 2",0451,1719,367,2086,2771,75.28%,1644,368,2012
"Justice, 14th Court of Appeals District, Place 2",0452,1574,662,2536,3789,66.93%,1673,763,2436
"Justice, 14th Court of Appeals District, Place 2",0453,551,417,1078,2039,52.87%,278,737,1015
"Justice, 14th Court of Appeals District, Place 2",0454,1043,288,1331,2509,53.05%,26,1259,1285
"Justice, 14th Court of Appeals District, Place 2",0455,559,173,842,1713,49.15%,30,783,813
"Justice, 14th Court of Appeals District, Place 2",0456,1405,553,1958,3793,51.62%,1008,855,1863
"Justice, 14th Court of Appeals District, Place 2",0457,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0458,917,253,1170,2025,57.78%,73,1052,1125
"Justice, 14th Court of Appeals District, Place 2",0459,2352,432,2794,3942,70.88%,2082,604,2686
"Justice, 14th Court of Appeals District, Place 2",0460,1513,472,2085,3280,63.57%,489,1526,2015
"Justice, 14th Court of Appeals District, Place 2",0461,2243,669,2912,4054,71.83%,1772,955,2727
"Justice, 14th Court of Appeals District, Place 2",0452,1475,735,2214,3507,63.13%,724,1400,2124
"Justice, 14th Court of Appeals District, Place 2",0463,1573,564,2237,3773,59.29%,825,1343,2158
"Justice, 14th Court of Appeals District, Place 2",0464,957,582,1549,2343,66.11%,947,517,1464
"Justice, 14th Court of Appeals District, Place 2",0465,1525,594,2222,3778,58.81%,983,1142,2125
"Justice, 14th Court of Appeals District, Place 2",0466,2274,509,2783,4327,64.32%,1385,1303,2688
"Justice, 14th Court of Appeals District, Place 2",0467,502,225,727,1320,55.08%,148,544,692
"Justice, 14th Court of Appeals District, Place 2",0458,1380,747,2127,4040,52.65%,494,1529,2023
"Justice, 14th Court of Appeals District, Place 2",0469,1858,462,2330,3257,71.54%,1765,467,2232
"Justice, 14th Court of Appeals District, Place 2",0470,555,232,787,1358,57.95%,555,197,752
"Justice, 14th Court of Appeals District, Place 2",0471,1057,458,1515,2473,61.26%,1115,341,1456
"Justice, 14th Court of Appeals District, Place 2",0472,453,339,802,1131,70.91%,356,391,747
"Justice, 14th Court of Appeals District, Place 2",0473,944,390,1334,1787,74.65%,890,378,1268
"Justice, 14th Court of Appeals District, Place 2",0474,1420,624,2044,3127,65.37%,1288,679,1967
"Justice, 14th Court of Appeals District, Place 2",0475,791,251,1052,1936,54.34%,392,605,997
"Justice, 14th Court of Appeals District, Place 2",0476,1075,405,1483,2458,60.33%,728,686,1414
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0477,2028,640,2668,4010,66.53%,1768,785,2553
"Justice, 14th Court of Appeals District, Place 2",0478,2272,683,2955,4696,62.93%,1810,1020,2830
"Justice, 14th Court of Appeals District, Place 2",0479,1978,755,2733,3851,70.97%,1947,689,2636
"Justice, 14th Court of Appeals District, Place 2",0480,1448,538,1984,2978,66.62%,1306,608,1914
"Justice, 14th Court of Appeals District, Place 2",0481,1757,667,2424,3609,67.17%,1697,602,2299
"Justice, 14th Court of Appeals District, Place 2",0482,2259,618,2877,4405,65.31%,1892,878,2770
"Justice, 14th Court of Appeals District, Place 2",0483,2310,538,2848,4495,63.36%,1419,1282,2701
"Justice, 14th Court of Appeals District, Place 2",0484,2020,700,2720,3981,68.32%,1665,952,2617
"Justice, 14th Court of Appeals District, Place 2",0485,2121,567,2688,4051,66.35%,1871,726,2597
"Justice, 14th Court of Appeals District, Place 2",0486,2310,721,3031,4195,72.25%,2262,646,2908
"Justice, 14th Court of Appeals District, Place 2",0487,1406,527,1933,4142,46.67%,456,1314,1770
"Justice, 14th Court of Appeals District, Place 2",0488,842,511,1353,2382,56.80%,363,924,1287
"Justice, 14th Court of Appeals District, Place 2",0489,865,344,1209,1958,61.75%,324,830,1154
"Justice, 14th Court of Appeals District, Place 2",0490,981,346,1327,2105,63.04%,402,860,1262
"Justice, 14th Court of Appeals District, Place 2",0491,942,488,1430,2110,67.77%,744,603,1347
"Justice, 14th Court of Appeals District, Place 2",0492,1220,396,1616,2552,63.32%,815,734,1549
"Justice, 14th Court of Appeals District, Place 2",0493,1404,555,1959,3338,58.69%,693,1149,1842
"Justice, 14th Court of Appeals District, Place 2",0494,1079,419,1498,2787,53.75%,173,1273,1446
"Justice, 14th Court of Appeals District, Place 2",0495,1414,376,1790,2488,71.95%,1179,519,1698
"Justice, 14th Court of Appeals District, Place 2",0496,687,549,1238,2325,53.16%,403,775,1178
"Justice, 14th Court of Appeals District, Place 2",0497,918,281,1197,2148,55.73%,51,1108,1159
"Justice, 14th Court of Appeals District, Place 2",0498,1069,423,1492,2527,59.04%,494,928,1422
"Justice, 14th Court of Appeals District, Place 2",0499,1433,397,1830,2336,78.34%,1297,458,1755
"Justice, 14th Court of Appeals District, Place 2",0500,1870,651,2521,3698,68.17%,1530,890,2420
"Justice, 14th Court of Appeals District, Place 2",0501,1147,406,1553,2016,77.03%,645,817,1462
"Justice, 14th Court of Appeals District, Place 2",0502,1355,293,1859,2595,63.93%,1237,343,1580
"Justice, 14th Court of Appeals District, Place 2",0503,1397,306,1703,2236,76.16%,1235,389,1624
"Justice, 14th Court of Appeals District, Place 2",0504,1270,482,1752,2318,75.58%,1098,566,1664
"Justice, 14th Court of Appeals District, Place 2",0505,1751,735,2486,4076,60.99%,1040,1290,2330
"Justice, 14th Court of Appeals District, Place 2",0506,1513,696,2209,3544,62.33%,322,1810,2132
"Justice, 14th Court of Appeals District, Place 2",0507,599,319,918,2562,35.83%,202,614,816
"Justice, 14th Court of Appeals District, Place 2",0508,1519,828,2347,4767,49.23%,637,1540,2177
"Justice, 14th Court of Appeals District, Place 2",0509,2504,889,3173,5153,61.58%,1924,1125,3049
"Justice, 14th Court of Appeals District, Place 2",0510,1703,666,2369,3822,61.98%,964,1317,2281
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0511,2935,574,3509,4620,75.95%,2074,1309,3383
"Justice, 14th Court of Appeals District, Place 2",0512,1668,871,2539,4559,55.69%,927,1505,2432
"Justice, 14th Court of Appeals District, Place 2",0513,1756,413,2169,3003,72.23%,1540,547,2087
"Justice, 14th Court of Appeals District, Place 2",0514,2288,613,2899,4378,66.22%,1934,849,2783
"Justice, 14th Court of Appeals District, Place 2",0515,1836,468,2304,3182,72.41%,1797,424,2221
"Justice, 14th Court of Appeals District, Place 2",0516,1316,363,1679,2799,59.99%,810,802,1612
"Justice, 14th Court of Appeals District, Place 2",0517,1612,509,2121,3744,56.65%,880,1146,2026
"Justice, 14th Court of Appeals District, Place 2",0518,1886,676,2562,4049,63.27%,1441,1003,2444
"Justice, 14th Court of Appeals District, Place 2",0519,1421,518,1939,3098,62.59%,1283,579,1862
"Justice, 14th Court of Appeals District, Place 2",0520,1790,670,2460,5202,47.29%,368,2024,2392
"Justice, 14th Court of Appeals District, Place 2",0521,1350,578,1928,3070,62.80%,864,991,1855
"Justice, 14th Court of Appeals District, Place 2",0522,1508,464,1972,2815,70.05%,1425,491,1916
"Justice, 14th Court of Appeals District, Place 2",0523,1978,537,2515,4027,62.45%,1484,898,2382
"Justice, 14th Court of Appeals District, Place 2",0524,1395,637,2032,3598,56.48%,530,1414,1944
"Justice, 14th Court of Appeals District, Place 2",0525,1442,574,2016,3260,61.84%,408,1511,1919
"Justice, 14th Court of Appeals District, Place 2",0526,235,157,392,820,47.80%,76,290,366
"Justice, 14th Court of Appeals District, Place 2",0527,156,38,194,580,33.45%,72,110,182
"Justice, 14th Court of Appeals District, Place 2",0528,17,8,25,78,32.05%,2,22,24
"Justice, 14th Court of Appeals District, Place 2",0529,2107,434,2541,3842,66.14%,2054,383,2437
"Justice, 14th Court of Appeals District, Place 2",0530,376,212,588,1236,47.57%,106,433,539
"Justice, 14th Court of Appeals District, Place 2",0531,1235,166,1401,2250,62.27%,1004,319,1323
"Justice, 14th Court of Appeals District, Place 2",0532,478,140,618,1058,58.41%,406,200,606
"Justice, 14th Court of Appeals District, Place 2",0533,353,169,522,1164,44.85%,253,237,490
"Justice, 14th Court of Appeals District, Place 2",0534,1896,577,2473,3918,63.12%,1669,692,2361
"Justice, 14th Court of Appeals District, Place 2",0535,132,62,194,413,46.97%,59,122,181
"Justice, 14th Court of Appeals District, Place 2",0536,2104,1053,3157,5637,56.00%,973,2008,2981
"Justice, 14th Court of Appeals District, Place 2",0537,1959,464,2423,3174,76.34%,1700,630,2330
"Justice, 14th Court of Appeals District, Place 2",0538,371,203,574,1332,43.09%,12,548,560
"Justice, 14th Court of Appeals District, Place 2",0539,811,234,1045,1535,68.08%,545,446,991
"Justice, 14th Court of Appeals District, Place 2",0540,1001,349,1350,1759,76.75%,486,763,1249
"Justice, 14th Court of Appeals District, Place 2",0541,2160,761,2921,5001,58.41%,445,2352,2797
"Justice, 14th Court of Appeals District, Place 2",0542,1156,406,1562,2654,58.85%,98,1407,1505
"Justice, 14th Court of Appeals District, Place 2",0543,553,321,874,1658,52.71%,203,623,826
"Justice, 14th Court of Appeals District, Place 2",0544,84,54,138,313,44.09%,16,118,134
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0545,2019,468,2487,3949,62.98%,1056,1301,2357
"Justice, 14th Court of Appeals District, Place 2",0546,1524,278,1802,2471,72.93%,1501,252,1753
"Justice, 14th Court of Appeals District, Place 2",0547,1414,270,1684,2534,66.46%,1073,535,1608
"Justice, 14th Court of Appeals District, Place 2",0548,882,395,1277,2339,54.60%,547,690,1237
"Justice, 14th Court of Appeals District, Place 2",0549,1108,447,1553,2786,55.74%,187,1322,1509
"Justice, 14th Court of Appeals District, Place 2",0550,1171,553,1724,3245,53.13%,716,951,1667
"Justice, 14th Court of Appeals District, Place 2",0551,2588,793,3379,4428,76.31%,2496,750,3246
"Justice, 14th Court of Appeals District, Place 2",0552,2090,784,2874,3762,76.40%,2268,505,2773
"Justice, 14th Court of Appeals District, Place 2",0553,982,317,1279,2193,58.32%,465,772,1237
"Justice, 14th Court of Appeals District, Place 2",0554,597,271,868,1774,48.93%,161,666,827
"Justice, 14th Court of Appeals District, Place 2",0555,842,390,1032,2286,45.14%,174,813,987
"Justice, 14th Court of Appeals District, Place 2",0556,780,435,1195,2491,47.97%,228,916,1144
"Justice, 14th Court of Appeals District, Place 2",0557,925,460,1385,2955,46.87%,376,899,1275
"Justice, 14th Court of Appeals District, Place 2",0558,1815,721,2538,4718,53.75%,716,1724,2440
"Justice, 14th Court of Appeals District, Place 2",0559,1909,701,2610,4984,52.37%,558,1939,2497
"Justice, 14th Court of Appeals District, Place 2",0560,290,247,537,1141,47.06%,93,411,504
